player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Myles Garrett,11756,ED,TEXAS A&M,11,1,0,312,90.8,15,29,311,97.9,20.9,65,3,10.0,9,334,327,53,0,84.8,7,18,116,99.2,28.4,33,15.1,5,124,123,30
Solomon Thomas,11758,DI,STANFORD,13,0,1,300,76.2,12,25,396,99.8,11.4,45,8,7.2,10,418,417,47,0,70.9,8,12,144,100.0,13.2,19,9.7,4,153,153,24
Jamal Adams,11761,S,LSU,12,1,0,211,78.8,1,0,6,1.4,0.0,0,0,25.0,1,426,6,2,0,60.2,1,0,0,0.0,,0,,0,158,0,1
Marshon Lattimore,11766,CB,OHIO STATE,13,0,0,260,63.1,0,0,9,2.8,11.1,1,2,0.0,0,320,9,0,0,71.5,0,0,2,1.8,50.0,1,0.0,0,113,2,0
Haason Reddick,11768,ED,TEMPLE,14,1,0,306,85.7,4,29,242,77.0,15.7,38,1,11.0,10,322,248,43,0,90.7,4,11,68,86.6,26.5,18,18.4,5,82,71,20
Derek Barnett,11769,ED,TENNESSEE,13,2,0,307,91.5,25,41,369,93.5,20.3,75,9,12.5,13,416,389,79,0,90.6,10,16,106,95.0,31.1,33,17.9,6,120,114,32
Malik Hooker,11770,S,OHIO STATE,13,0,0,260,64.9,1,0,4,0.9,0.0,0,0,37.5,1,425,4,2,0,59.6,0,0,1,0.7,0.0,0,0.0,0,143,1,0
Marlon Humphrey,11771,CB,ALABAMA,14,0,0,103,58.7,0,0,2,0.4,0.0,0,4,0.0,0,526,2,0,0,,0,0,0,0.0,,0,,0,228,0,0
Jonathan Allen,11772,DI,ALABAMA,15,1,1,103,90.6,13,41,446,99.8,17.9,80,3,9.0,13,465,464,67,0,90.7,7,23,197,99.5,23.4,46,13.2,11,203,202,41
Adoree' Jackson,11773,CB,USC,13,0,0,326,56.1,0,1,2,0.5,0.0,0,1,25.0,0,423,2,1,0,58.2,0,0,1,0.6,0.0,0,0.0,0,175,1,0
Jarrad Davis,11776,LB,FLORIDA,9,0,0,163,72.5,6,11,31,13.2,12.9,4,2,33.9,2,243,32,19,0,68.7,5,3,15,13.8,13.3,2,33.3,1,116,16,9
Charles Harris,11777,ED,MISSOURI,12,2,2,229,86.8,18,34,342,94.4,18.4,63,5,10.5,10,376,355,62,0,90.1,13,17,137,96.7,27.7,38,16.1,7,150,145,37
Gareon Conley,11779,CB,OHIO STATE,13,0,0,260,50.4,1,1,7,2.2,0.0,0,1,14.3,0,325,7,2,0,55.8,0,1,1,0.8,0.0,0,50.0,0,119,1,1
Jabrill Peppers,11780,S,MICHIGAN,12,0,0,222,61.8,6,9,98,27.2,4.1,4,2,10.7,3,368,100,18,0,61.8,4,5,41,29.3,4.9,2,15.9,2,147,43,11
Takk McKinley,11781,ED,UCLA,11,1,1,324,85.2,11,37,316,96.6,14.9,47,4,10.4,9,352,340,57,0,89.4,7,21,108,99.2,26.9,29,16.7,4,119,118,32
Tre'Davious White,11782,CB,LSU,12,0,2,211,69.4,0,1,3,0.7,0.0,0,4,50.0,1,420,3,2,0,59.7,0,0,1,0.6,0.0,0,0.0,0,155,1,0
Taco Charlton,11783,ED,MICHIGAN,11,1,0,222,83.6,10,32,237,99.2,20.3,48,1,11.8,7,252,250,49,0,80.4,7,17,99,98.1,24.2,24,17.2,5,107,105,29
T.J. Watt,11785,ED,WISCONSIN,14,3,0,349,91.0,16,31,271,72.6,18.1,49,3,12.4,10,383,278,57,1,90.6,10,19,137,84.9,23.4,32,17.2,9,166,141,38
Reuben Foster,11786,LB,ALABAMA,15,0,0,103,68.7,12,6,93,18.6,14.0,13,1,14.0,4,500,93,22,0,74.9,6,3,50,23.8,18.0,9,15.0,3,210,50,12
Kevin King,11788,CB,WASHINGTON,14,0,1,340,55.1,0,1,5,1.3,0.0,0,3,10.0,0,463,6,1,0,59.7,0,0,1,0.5,0.0,0,0.0,0,184,1,0
Malik McDowell,11790,DI,MICH STATE,9,0,0,223,80.1,10,18,196,99.5,15.8,31,4,8.2,2,207,206,30,0,78.7,6,9,71,98.7,25.4,18,12.0,1,78,77,16
Budda Baker,11791,CB,WASHINGTON,14,0,0,340,73.0,2,5,27,5.9,7.4,2,2,20.4,2,456,27,9,0,73.9,1,1,10,5.4,0.0,0,30.0,2,184,10,4
Marcus Maye,11794,S,FLORIDA,9,0,0,163,69.5,0,0,6,2.6,0.0,0,1,16.7,1,232,6,1,0,57.9,0,0,2,1.8,0.0,0,0.0,0,113,2,0
Marcus Williams,11797,S,UTAH,11,0,0,328,53.9,0,1,6,1.4,0.0,0,1,8.3,0,435,6,1,0,55.2,0,0,3,1.7,0.0,0,0.0,0,173,3,0
Sidney Jones IV,11798,CB,WASHINGTON,14,0,2,340,53.9,0,1,7,1.5,0.0,0,3,7.1,0,459,7,1,0,,0,0,0,0.0,,0,,0,182,0,0
Quincy Wilson,11801,CB,FLORIDA,13,0,1,163,75.5,0,1,5,1.5,0.0,0,5,30.0,1,391,6,2,0,58.3,0,1,2,1.1,0.0,0,25.0,0,184,2,1
Tyus Bowser,11802,ED,HOUSTON,8,2,0,182,78.8,4,16,155,51.7,11.0,17,0,11.0,7,315,163,27,1,79.7,1,10,47,51.0,19.1,9,18.1,3,96,49,14
Ryan Anderson,11804,ED,ALABAMA,15,0,0,103,77.8,17,32,346,84.5,12.7,44,3,10.5,12,427,361,61,0,82.1,9,20,158,89.0,19.6,31,14.9,9,181,161,38
Justin Evans,11805,S,TEXAS A&M,13,0,0,312,65.8,0,0,1,0.4,0.0,0,1,0.0,0,503,2,0,0,65.8,0,0,1,1.2,0.0,0,0.0,0,171,2,0
DeMarcus Walker,11806,ED,FLORIDA ST,13,2,0,167,88.2,12,34,433,98.3,15.7,68,2,9.2,17,463,455,63,0,88.1,5,17,171,98.9,24.0,41,14.0,13,180,178,35
Teez Tabor,11808,CB,FLORIDA,12,0,0,163,75.7,0,1,4,1.1,25.0,1,5,37.5,1,349,4,2,0,68.1,0,1,2,1.2,50.0,1,25.0,0,168,2,1
Raekwon McMillan,11809,LB,OHIO STATE,13,1,0,260,68.9,2,9,45,11.5,15.6,7,0,16.7,2,416,48,13,0,66.5,0,6,19,14.4,26.3,5,15.8,0,139,20,6
Dalvin Tomlinson,11810,DI,ALABAMA,15,4,1,103,74.3,5,34,410,100.0,9.5,39,1,5.0,1,428,428,40,1,76.9,5,22,185,100.0,14.6,27,7.8,1,192,192,28
Obi Melifonwu,11811,S,UCONN,12,0,0,146,63.2,1,0,10,2.2,10.0,1,2,5.0,0,457,10,1,0,59.6,0,0,1,1.0,0.0,0,0.0,0,105,1,0
Zach Cunningham,11812,LB,VANDERBILT,13,0,0,333,50.7,0,4,33,6.9,3.0,1,1,6.1,0,480,33,4,0,55.6,0,3,12,10.1,8.3,1,12.5,0,119,12,3
Chidobe Awuzie,11815,CB,COLORADO,14,0,1,143,72.9,0,4,40,7.8,5.0,2,3,15.0,4,512,40,8,0,77.0,0,3,23,11.9,4.3,1,19.6,3,194,23,6
Josh Jones,11816,S,NC STATE,13,0,0,248,58.4,0,1,20,4.0,10.0,2,3,7.5,1,529,21,2,0,61.4,0,0,6,3.6,0.0,0,16.7,1,195,7,1
Larry Ogunjobi,11820,DI,CHARLOTTE,12,2,0,136,69.0,5,21,411,99.5,7.3,30,3,4.1,4,439,437,30,0,72.2,2,14,137,99.3,13.1,18,8.0,3,149,148,19
Dawuane Smoot,11823,ED,ILLINOIS,12,1,0,187,83.0,10,38,337,99.4,17.8,60,3,8.6,5,360,358,53,0,89.8,6,26,141,99.3,29.1,41,14.2,4,151,150,36
Jordan Willis,11828,ED,KANSAS ST,13,3,0,199,90.6,8,54,500,97.8,17.4,87,4,9.2,15,536,524,77,1,91.2,6,34,175,96.9,28.6,50,17.1,10,192,186,50
Chris Wormley,11829,ED,MICHIGAN,13,0,1,222,74.9,10,21,263,100.0,14.4,38,1,8.2,6,281,281,37,0,67.4,3,10,105,100.0,15.2,16,10.0,4,115,115,17
Duke Riley,11830,LB,LSU,12,0,0,211,65.0,4,10,55,14.4,5.5,3,0,16.4,2,410,59,16,0,68.0,2,4,28,19.1,3.6,1,17.9,2,152,29,8
Alex Anzalone,11831,LB,FLORIDA,8,2,0,163,75.0,1,12,42,20.8,16.7,7,1,22.6,3,221,46,16,1,78.3,0,5,13,15.1,15.4,2,26.9,1,106,16,6
Daeshon Hall,11832,ED,TEXAS A&M,13,1,0,312,71.6,10,24,404,97.0,9.9,40,3,5.2,4,437,424,38,0,83.3,8,16,140,97.4,20.7,29,11.4,4,152,148,28
Tim Williams,11833,ED,ALABAMA,15,0,0,103,90.0,10,39,279,92.9,22.9,64,1,12.4,10,309,287,59,0,91.5,6,32,153,96.3,34.6,53,17.0,7,163,157,45
Tarell Basham,11835,ED,OHIO,14,2,0,259,88.2,9,52,387,96.0,14.2,55,5,10.5,10,420,403,71,0,84.1,5,26,153,96.4,20.9,32,13.4,5,166,160,36
Eddie Vanderdoes,11843,DI,UCLA,12,0,0,324,74.5,3,18,314,100.0,8.9,28,3,4.3,3,332,332,24,0,66.6,1,8,107,100.0,12.1,13,6.1,2,113,113,11
Shaquill Griffin,11845,CB,UCF,13,0,0,323,55.4,0,0,1,0.2,0.0,0,4,0.0,0,470,1,0,0,,0,0,0,0.0,,0,,0,144,0,0
Jourdan Lewis,11846,CB,MICHIGAN,10,0,1,222,51.8,1,1,3,1.0,33.3,1,4,33.3,0,299,3,2,0,58.3,0,0,1,0.8,0.0,0,0.0,0,124,1,0
John Johnson III,11847,S,BOSTON COL,13,0,0,121,56.0,0,2,5,1.1,0.0,0,1,20.0,0,472,5,2,0,56.1,0,1,4,2.5,0.0,0,12.5,0,157,4,1
Montravius Adams,11848,DI,AUBURN,13,2,1,115,77.8,9,21,357,99.5,7.8,28,4,5.9,6,374,372,36,0,73.7,3,13,144,100.0,11.1,16,9.0,5,152,152,21
Delano Hill,11849,S,MICHIGAN,13,0,0,222,76.3,1,0,6,1.8,0.0,0,2,25.0,1,390,7,2,0,56.6,0,0,2,1.2,0.0,0,0.0,0,161,2,0
Cameron Sutton,11850,CB,TENNESSEE,7,0,0,307,63.8,0,0,5,2.3,20.0,1,0,0.0,0,221,5,0,0,,0,0,0,0.0,,0,,0,61,0,0
Cordrea Tankersley,11852,CB,CLEMSON,15,0,2,140,54.5,0,1,13,2.9,0.0,0,7,3.8,0,520,15,1,0,63.9,0,0,2,2.8,0.0,0,0.0,0,144,4,0
Rasul Douglas,11854,CB,W VIRGINIA,13,0,0,343,61.2,0,0,2,0.4,0.0,0,3,50.0,1,531,2,1,0,61.5,0,0,1,1.1,0.0,0,100.0,1,90,1,1
Nazair Jones,11857,DI,N CAROLINA,12,4,0,245,65.6,5,9,219,100.0,5.9,13,0,4.6,3,230,230,17,2,61.1,2,2,71,100.0,4.2,3,4.2,1,75,75,5
Trey Hendrickson,11858,ED,FAU,12,2,0,165,90.8,13,55,289,96.9,24.9,72,4,14.9,9,320,310,77,0,92.1,7,36,108,98.4,45.4,49,25.5,6,123,121,49
James Conner,11860,HB,PITTSBURGH,2,0,0,268,65.7,1,0,4,100.0,25.0,1,0,12.5,0,4,4,1,0,68.3,1,0,2,100.0,50.0,1,25.0,0,2,2,1
Kendell Beckwith,11862,LB,LSU,10,0,0,211,65.8,0,2,10,3.3,20.0,2,0,20.0,1,300,10,3,0,72.8,0,1,5,4.5,40.0,2,30.0,1,110,5,2
Vince Biegel,11863,ED,WISCONSIN,12,1,1,349,88.6,7,35,232,72.7,19.4,45,3,11.2,5,333,242,47,0,82.5,4,22,106,72.4,24.5,26,15.1,3,156,113,29
Jaleel Johnson,11864,DI,IOWA,13,2,0,192,79.4,8,27,329,100.0,10.6,35,2,7.8,8,344,344,43,2,85.4,7,19,168,100.0,16.1,27,11.9,7,174,174,33
