player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ronnell Perkins,27441,S,MISSOURI,10,0,0,229,69.3,1,0,8,7.0,0.0,0,0,18.8,1,128,9,2,0,0,0,2,6.3,0.0,0,0.0,0,32,2,0
Jarius McDade,27498,DI,NEVADA,12,0,0,239,59.3,0,5,126,97.0,3.2,4,0,2.8,1,133,129,6,0,0,1,22,92.0,4.5,1,2.3,0,25,23,1
Lamont Simmons,27565,CB,GA TECH,10,0,0,176,52.4,1,0,4,2.6,0.0,0,0,12.5,0,194,5,1,0,1,0,1,2.3,0.0,0,50.0,0,44,1,1
Hudson Sullivan,27577,LB,NAVY,13,0,0,237,57.7,5,6,50,15.3,4.0,2,1,17.0,3,340,52,14,0,2,1,14,17.9,7.1,1,10.7,0,78,14,3
Josh Webb,27578,ED,NAVY,11,0,0,237,53.0,3,5,190,98.5,3.2,6,1,2.1,0,198,195,8,0,2,4,56,100.0,8.9,5,5.4,0,57,57,6
Mazzi Wilkins,27582,CB,USF,12,0,1,327,48.1,0,0,5,1.4,0.0,0,4,0.0,0,359,5,0,0,0,0,0,0.0,,0,,0,121,0,0
Gerald Willis III,27584,DI,MIAMI FL,12,1,0,220,76.1,7,16,290,100.0,11.0,32,3,5.0,3,298,298,26,0,3,6,89,100.0,13.5,12,6.2,1,91,91,10
Kenny Bigelow Jr.,27603,DI,W VIRGINIA,12,0,0,343,69.2,3,11,229,99.2,5.7,13,0,3.9,2,241,239,16,0,1,1,19,100.0,10.5,2,5.3,0,22,22,2
George Helmuth,27616,LB,FRESNO ST,14,0,0,169,65.6,4,5,81,19.3,4.9,4,0,13.0,6,431,83,15,0,1,4,32,25.8,6.3,2,20.3,4,132,34,9
Lucas Weber,27625,LB,NEVADA,12,0,0,239,75.1,9,11,90,33.2,10.0,9,1,14.4,3,286,95,23,0,2,2,18,35.8,22.2,4,16.7,1,53,19,5
Alex Hart,27631,LB,NEW MEXICO,3,0,0,241,58.8,0,2,11,17.7,9.1,1,0,9.1,0,62,11,2,0,0,2,4,19.0,25.0,1,25.0,0,21,4,2
