player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Dylan Silcox,42991,LB,RICE,10,0,1,275,55.8,0,2,47,21.3,2.1,1,3,4.3,1,225,48,3,0,0,2,19,24.4,0.0,0,10.5,1,78,19,3
Khalid Kareem,42993,ED,NOTRE DAME,13,5,1,258,80.8,4,29,362,99.2,14.1,51,4,5.7,4,385,382,37,1,0,17,148,100.0,21.6,32,7.8,3,156,156,20
Amadeo West,42997,ED,ARMY,6,0,0,114,62.5,1,5,50,85.7,8.0,4,0,6.0,0,63,54,6,0,0,1,13,92.9,15.4,2,3.8,0,14,13,1
Davonte Robinson,42999,CB,KENTUCKY,13,0,0,202,53.5,1,0,10,3.9,0.0,0,0,5.0,0,259,10,1,0,1,0,4,3.2,0.0,0,12.5,0,126,4,1
JoVanni Stewart,43001,LB,W VIRGINIA,11,0,1,343,73.7,8,10,87,23.4,6.9,6,2,16.1,5,402,94,23,0,2,3,25,50.0,12.0,3,22.0,3,54,27,8
Myles Reid,43006,LB,MIAMI OH,12,0,0,221,59.2,2,3,39,19.9,7.7,3,1,9.0,1,221,44,6,0,1,3,20,23.3,10.0,2,15.0,1,103,24,5
Damon Hayes,43007,S,RUTGERS,12,0,0,278,53.0,1,3,13,4.1,0.0,0,5,15.4,0,344,14,4,0,1,1,10,6.4,0.0,0,10.0,0,157,10,2
James King,43009,LB,AKRON,8,0,0,102,59.6,1,1,2,3.0,0.0,0,0,50.0,0,67,2,2,0,1,1,0,0.0,,0,,0,22,0,2
Baron Gajkowski,43013,CB,UTAH ST,8,0,0,329,75.8,1,0,13,26.2,7.7,1,0,11.5,1,61,16,2,0,0,0,3,23.8,0.0,0,0.0,0,21,5,0
Rhashaun Epting,43019,ED,NEW MEXICO,12,1,0,241,63.0,1,13,179,76.7,10.6,19,2,7.8,7,253,194,21,1,1,10,95,88.1,13.7,13,12.1,6,118,104,17
Jonathon Cooper,43021,ED,OHIO STATE,13,0,0,260,69.8,4,24,324,95.3,9.6,31,1,5.6,4,365,348,32,0,0,18,104,97.5,20.2,21,8.7,0,119,116,18
Caleb Kelly,43026,LB,OKLAHOMA,11,0,0,261,83.3,1,5,48,18.7,10.4,5,1,12.5,3,284,53,9,0,0,5,17,23.8,29.4,5,32.4,3,80,19,8
Ronnie Blackmon,43030,CB,COLORADO,9,0,0,143,53.1,0,1,7,7.7,0.0,0,0,7.1,0,91,7,1,0,0,1,4,7.0,0.0,0,12.5,0,57,4,1
Tyree Rodgers,43031,S,VA TECH,10,0,0,337,59.5,0,0,1,0.9,0.0,0,0,0.0,0,117,1,0,0,0,0,1,3.8,0.0,0,0.0,0,26,1,0
Gage Kreski,43047,CB,C MICHIGAN,9,0,0,134,57.7,0,0,2,2.6,0.0,0,0,0.0,0,77,2,0,0,0,0,2,7.7,0.0,0,0.0,0,26,2,0
Brandon Jones,43049,S,TEXAS,10,0,1,311,73.5,3,3,14,3.9,7.1,1,3,21.4,0,388,15,6,0,2,1,8,8.1,12.5,1,18.8,0,111,9,3
Elan Nash,43051,LB,NAVY,13,0,0,237,53.0,2,4,37,15.0,5.4,2,0,8.1,0,247,37,6,0,1,2,10,16.1,10.0,1,15.0,0,62,10,3
Drake Spears,43054,LB,W MICHIGAN,13,0,2,347,63.0,1,2,64,18.4,7.8,5,3,7.0,3,370,68,6,0,0,0,24,18.9,12.5,3,4.2,1,132,25,1
Jared Mayden,43058,S,ALABAMA,13,0,1,103,70.5,0,0,2,1.3,0.0,0,2,50.0,1,151,2,1,0,0,0,0,0.0,,0,,0,71,0,0
Carlo Kemp,43059,DI,MICHIGAN,13,0,0,222,66.0,2,9,170,100.0,5.9,10,0,4.4,2,183,183,13,0,1,6,73,100.0,6.8,5,6.2,1,81,81,8
Jamal Hicks,43062,S,COLO STATE,12,0,1,144,60.1,1,2,10,5.0,0.0,0,2,15.0,0,279,14,3,0,0,0,1,2.4,0.0,0,0.0,0,83,2,0
Jaron Bryant,43064,CB,FRESNO ST,14,0,0,169,60.0,0,0,1,0.2,0.0,0,2,0.0,0,469,1,0,0,0,0,0,0.0,,0,,0,147,0,0
McTelvin Agim,43069,ED,ARKANSAS,12,1,0,111,71.2,6,13,276,99.3,8.3,23,2,5.3,5,293,291,24,1,4,7,111,100.0,14.4,16,7.7,3,120,120,14
Brady Breeze,43073,S,OREGON,4,0,0,264,57.9,0,0,4,13.8,0.0,0,0,0.0,0,29,4,0,0,0,0,0,0.0,,0,,0,11,0,0
Vernon Scott,43076,S,TCU,11,0,0,305,58.4,0,0,2,0.9,0.0,0,2,0.0,0,211,2,0,0,0,0,1,1.7,0.0,0,0.0,0,59,1,0
Tre Webb,43077,S,S JOSE ST,11,1,0,285,70.5,0,3,9,2.9,22.2,2,2,16.7,0,375,11,3,0,0,2,5,6.7,20.0,1,20.0,0,89,6,2
Taji Stewart,43084,ED,S ALABAMA,12,0,2,288,71.0,4,7,148,84.4,10.8,16,6,4.4,1,192,162,12,0,2,4,44,100.0,25.0,11,6.8,0,53,53,6
Tim Hart,43085,LB,MEMPHIS,14,0,0,218,48.8,1,11,52,17.2,3.8,2,1,11.5,0,308,53,12,0,1,4,14,16.1,7.1,1,17.9,0,87,14,5
Devin White,43089,LB,LSU,13,1,0,211,82.9,9,20,95,21.0,15.8,15,3,19.5,4,480,101,33,0,3,13,49,31.7,20.4,10,18.4,1,167,53,17
Brandon Hill,43098,LB,DUKE,8,0,1,154,63.5,2,3,24,15.6,16.7,4,2,10.4,0,154,24,5,0,1,2,9,15.0,44.4,4,16.7,0,60,9,3
Travis Whillock,43100,S,NWESTERN,10,0,0,256,60.7,1,1,22,7.7,4.5,1,0,9.1,1,298,23,3,0,1,1,5,7.0,20.0,1,20.0,0,71,5,2
Kevin Meitzenheimer,43102,LB,UTAH ST,7,0,0,329,61.9,1,0,10,24.1,10.0,1,0,5.0,0,54,13,1,0,0,0,0,0.0,,0,,0,7,0,0
Shane Simmons,43103,ED,PENN STATE,8,0,0,266,55.4,0,5,59,93.9,6.8,4,0,4.2,0,66,62,5,0,0,4,33,97.1,6.1,2,6.1,0,35,34,4
Donta Evans,43108,LB,OLE MISS,3,0,0,226,59.2,0,0,2,12.5,0.0,0,0,0.0,0,16,2,0,0,0,0,0,0.0,,0,,0,2,0,0
Devin Gil,43111,LB,MICHIGAN,13,0,0,222,65.5,0,3,26,18.5,3.8,1,0,13.5,2,146,27,5,0,0,2,10,21.6,0.0,0,20.0,1,51,11,3
Brock Miller,43112,LB,NC STATE,9,0,0,248,63.3,3,0,29,27.0,0.0,0,0,8.6,1,111,30,4,0,0,0,15,39.5,0.0,0,6.7,1,38,15,1
Martin Mangram,43114,S,UMASS,8,0,0,216,76.5,1,2,13,20.0,23.1,3,1,19.2,1,75,15,4,0,0,1,7,27.6,28.6,2,21.4,1,29,8,2
Marquill Osborne,43116,CB,TENNESSEE,7,0,0,307,59.1,0,0,1,1.1,0.0,0,1,0.0,0,93,1,0,0,0,0,1,2.6,0.0,0,0.0,0,38,1,0
Benny Walls,43119,S,TEMPLE,12,0,0,306,66.9,0,1,4,2.0,25.0,1,0,37.5,1,294,6,2,0,0,0,1,1.8,0.0,0,100.0,1,109,2,1
Alijah Halliburton,43139,S,WYOMING,11,0,0,351,55.1,0,0,6,3.1,0.0,0,0,0.0,0,228,7,0,0,0,0,3,4.0,0.0,0,0.0,0,75,3,0
Tim Irvin,43144,CB,E CAROLINA,2,0,0,156,57.2,0,0,6,16.7,0.0,0,1,0.0,0,36,6,0,0,0,0,1,6.7,0.0,0,0.0,0,15,1,0
Keyvone Bruton,43150,S,TEMPLE,11,0,0,306,57.6,0,1,4,3.7,0.0,0,0,12.5,0,135,5,1,0,0,0,0,0.0,,0,,0,51,0,0
Ross Connors,43153,S,AIR FORCE,7,0,0,101,73.5,0,0,2,1.7,0.0,0,1,50.0,1,116,2,1,0,0,0,0,0.0,,0,,0,32,0,0
Tuf Borland,43158,LB,OHIO STATE,14,0,2,260,60.1,1,4,44,17.2,6.8,3,2,12.5,3,274,47,8,0,1,2,18,24.4,0.0,0,13.9,1,78,19,4
Tim Kidd-Glass,43159,S,NC STATE,13,0,0,248,63.3,1,0,6,2.4,0.0,0,1,25.0,1,255,6,2,0,0,0,3,3.3,0.0,0,33.3,1,92,3,1
Brennan Thieneman,43166,S,PURDUE,9,0,0,273,58.5,0,0,3,1.9,0.0,0,0,0.0,0,156,3,0,0,0,0,1,1.8,0.0,0,0.0,0,55,1,0
Tristan Cooper,43171,CB,ARIZONA,11,2,0,109,68.6,0,4,23,7.7,13.0,3,1,8.7,0,324,25,4,0,0,1,9,8.6,11.1,1,5.6,0,128,11,1
Justus Parker,43173,CB,TEXAS TECH,12,1,0,315,59.4,1,5,12,4.9,8.3,1,1,25.0,0,268,13,6,0,1,2,3,4.7,33.3,1,50.0,0,85,4,3
Donavan Thompson,43175,LB,UTAH,9,0,0,328,60.1,0,0,11,18.3,0.0,0,0,9.1,1,60,11,1,0,0,0,6,25.0,0.0,0,0.0,0,24,6,0
Jack King,43178,LB,ARMY,5,0,0,114,69.0,0,0,2,33.3,0.0,0,0,50.0,1,9,3,1,0,0,0,1,50.0,0.0,0,100.0,1,2,1,1
Nolan Turner,43187,S,CLEMSON,15,0,0,140,57.2,0,1,3,1.3,0.0,0,1,16.7,0,224,3,1,0,0,0,0,0.0,,0,,0,76,0,0
Ryan McWood,43189,LB,MIAMI OH,6,0,0,221,48.1,0,2,14,22.2,7.1,1,0,7.1,0,63,14,2,0,0,2,5,17.2,20.0,1,20.0,0,29,5,2
Mack Wilson Sr.,43190,LB,ALABAMA,15,2,0,103,75.7,8,10,64,13.0,10.9,7,3,15.6,1,515,67,19,1,5,5,36,19.6,13.9,5,16.7,1,199,39,11
Akeam Peters,43193,S,KENT STATE,4,0,0,201,57.2,0,1,1,3.2,0.0,0,0,50.0,0,63,2,1,0,0,1,1,10.0,0.0,0,50.0,0,20,2,1
Isaiah Hayes,43194,S,ARIZONA,4,0,0,109,56.5,0,0,1,1.2,0.0,0,0,0.0,0,85,1,0,0,0,0,0,0.0,,0,,0,21,0,0
Richie Grant,43196,S,UCF,13,0,0,323,55.0,0,0,9,2.4,0.0,0,0,0.0,0,452,11,0,0,0,0,2,1.4,0.0,0,0.0,0,208,3,0
Korel Smith,43201,CB,FAU,9,0,0,165,64.3,0,1,9,6.3,0.0,0,0,16.7,1,144,9,2,0,0,0,3,5.1,0.0,0,0.0,0,59,3,0
Devonte Harrison,43202,LB,APP STATE,1,0,0,108,63.0,0,1,1,25.0,100.0,1,0,50.0,0,4,1,1,0,0,1,1,33.3,100.0,1,50.0,0,3,1,1
Jordan Griffin,43205,S,KENTUCKY,10,0,0,202,57.7,0,0,1,0.7,0.0,0,0,0.0,0,141,1,0,0,0,0,1,1.7,0.0,0,0.0,0,59,1,0
Max McDonald,43210,LB,COLO STATE,4,0,0,144,52.4,0,0,7,20.0,0.0,0,0,0.0,0,35,7,0,0,0,0,2,28.6,0.0,0,0.0,0,7,2,0
John Lamot,43215,LB,BOSTON COL,12,0,0,121,50.5,0,4,37,22.4,2.7,1,0,5.4,0,174,39,4,0,0,2,14,22.4,0.0,0,7.1,0,67,15,2
Daniel Bituli,43219,LB,TENNESSEE,12,0,0,307,62.9,2,1,33,14.6,3.0,1,1,7.6,1,240,35,4,0,1,0,7,13.6,14.3,1,21.4,1,59,8,2
Chase Pine,43225,LB,PITTSBURGH,13,0,0,268,61.0,0,3,30,31.3,10.0,3,0,8.3,1,99,31,4,0,0,3,16,40.5,18.8,3,9.4,0,42,17,3
Kee Whetzel,43228,LB,OREGON ST,12,1,0,265,67.3,3,6,83,55.3,8.4,7,1,7.8,2,161,89,11,0,3,4,34,61.7,11.8,4,16.2,2,60,37,9
Lawrence Garner,43233,LB,DOMINION,9,0,0,263,60.1,4,9,40,13.5,10.0,4,1,16.3,0,318,43,13,0,3,4,16,16.7,18.8,3,21.9,0,102,17,7
Andrew Wright,43235,ED,FRESNO ST,14,0,0,169,56.7,0,3,59,82.7,6.8,4,1,2.5,0,75,62,3,0,0,2,23,92.6,13.0,3,4.3,0,27,25,2
Walter Little,43236,LB,NAVY,6,0,0,237,57.9,0,0,6,12.8,0.0,0,0,0.0,0,47,6,0,0,0,0,1,10.0,0.0,0,0.0,0,10,1,0
Eric Monroe,43239,S,LSU,3,0,0,211,60.0,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,0,0,0,0.0,,0,,0,3,0,0
Kimere Brown,43242,CB,TEMPLE,13,0,0,306,57.9,0,0,1,1.0,0.0,0,2,0.0,0,196,2,0,0,0,0,0,0.0,,0,,0,71,0,0
Chris Henderson,43249,ED,S ALABAMA,4,0,0,288,52.2,1,0,37,92.9,0.0,0,1,1.4,0,42,39,1,0,1,0,10,100.0,0.0,0,5.0,0,10,10,1
Joe Bachie,43250,LB,MICH STATE,13,1,0,223,54.7,0,4,67,12.3,3.0,2,0,4.5,1,554,68,5,0,0,2,31,15.4,3.2,1,6.5,1,208,32,3
C.J. Pollard,43251,S,USC,9,0,0,326,69.4,0,0,5,6.5,20.0,1,0,20.0,1,93,6,1,0,0,0,2,4.5,0.0,0,50.0,1,44,2,1
Greedy Williams,43254,CB,LSU,12,0,1,211,49.9,0,1,7,1.5,0.0,0,6,7.1,0,463,7,1,0,0,0,1,0.6,0.0,0,0.0,0,166,1,0
Cam Jones,43257,S,ARMY,10,0,0,114,73.3,0,0,9,4.0,0.0,0,0,11.1,1,225,9,1,0,0,0,3,4.5,0.0,0,33.3,1,67,3,1
Spencer Perry,43262,S,S ALABAMA,6,0,0,288,60.0,0,0,1,1.7,0.0,0,0,0.0,0,59,1,0,0,0,0,0,0.0,,0,,0,17,0,0
James Wiggins Jr.,43263,CB,CINCINNATI,13,0,0,138,56.2,0,0,2,0.5,0.0,0,2,0.0,0,414,2,0,0,0,0,2,1.2,0.0,0,0.0,0,167,2,0
Braxton Gunther,43264,S,UTAH ST,3,0,0,329,59.4,0,0,1,6.3,0.0,0,0,0.0,0,16,1,0,0,0,0,0,0.0,,0,,0,2,0,0
Steven Montac,43265,S,S CAROLINA,12,0,0,289,60.4,1,1,7,2.2,0.0,0,2,14.3,0,361,8,2,0,1,0,3,2.8,0.0,0,16.7,0,106,3,1
Simeon Smiley,43267,CB,PURDUE,12,0,0,273,58.3,0,1,1,0.7,0.0,0,2,50.0,0,307,2,1,0,0,0,0,0.0,,0,,0,112,0,0
Jeffrey McCulloch,43269,LB,TEXAS,14,1,0,311,67.4,1,7,117,43.9,9.4,11,0,4.3,1,278,122,9,0,1,5,39,63.1,23.1,9,10.3,1,65,41,7
Tanner Jacobson,43273,CB,BYU,10,0,0,128,58.2,1,1,1,1.3,0.0,0,0,100.0,0,160,2,2,0,1,1,1,1.8,0.0,0,100.0,0,57,1,2
Jordan Porter,43277,CB,E MICHIGAN,10,0,0,160,54.3,0,0,5,12.8,0.0,0,0,0.0,0,47,6,0,0,0,0,0,0.0,,0,,0,13,0,0
Anthony Ekpe,43280,LB,RICE,13,0,0,275,86.4,3,11,93,52.6,20.4,19,2,12.9,5,190,100,19,0,3,7,52,67.9,30.8,16,19.2,5,84,57,15
Markell Simmons,43281,S,TCU,10,0,0,305,69.0,1,1,3,1.4,0.0,0,2,33.3,0,291,4,2,0,1,1,2,2.2,0.0,0,50.0,0,90,2,2
Josh Perry,43283,S,MEMPHIS,14,0,0,218,60.0,0,0,1,0.2,0.0,0,5,0.0,0,440,1,0,0,0,0,0,0.0,,0,,0,124,0,0
Treyvon Reeves,43286,LB,TULSA,9,0,0,320,59.6,0,1,10,18.6,0.0,0,0,15.0,1,59,11,2,0,0,0,5,50.0,0.0,0,20.0,1,10,5,1
Braden Smith,43298,S,WYOMING,7,0,0,351,60.0,0,0,1,2.6,0.0,0,0,0.0,0,38,1,0,0,0,0,0,0.0,,0,,0,16,0,0
Micahh Smith,43299,S,ARKANSAS,1,0,0,111,59.2,0,0,1,14.3,0.0,0,0,0.0,0,7,1,0,0,0,0,1,25.0,0.0,0,0.0,0,4,1,0
Larry Bryant,43306,S,TULANE,7,0,0,319,67.2,0,2,19,47.5,21.1,4,0,10.5,1,40,19,3,0,0,2,14,82.4,21.4,3,14.3,1,17,14,3
Chris Wilcox,43308,CB,BYU,9,0,0,128,60.0,0,0,1,0.4,0.0,0,4,0.0,0,232,1,0,0,0,0,1,1.0,0.0,0,0.0,0,96,1,0
Garrett Crall,43309,ED,WYOMING,12,1,0,351,60.6,9,12,293,94.5,6.5,19,0,4.9,4,325,307,25,0,3,7,111,95.9,9.0,10,7.2,3,123,118,13
Jarrius Wallace,43310,S,ARIZONA,11,0,0,109,59.5,0,0,1,0.5,0.0,0,1,0.0,0,216,1,0,0,0,0,1,1.5,0.0,0,0.0,0,67,1,0
Messiah Tyler,43315,LB,FRESNO ST,4,0,0,169,55.4,0,0,5,23.8,0.0,0,0,0.0,0,21,5,0,0,0,0,3,30.0,0.0,0,0.0,0,10,3,0
Denzel Polk,43319,ED,NAVY,4,0,0,237,56.2,0,0,13,100.0,0.0,0,0,0.0,0,14,14,0,0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Qwuantrezz Knight,43322,CB,MARYLAND,4,0,0,215,56.4,0,0,3,10.0,0.0,0,0,0.0,0,30,3,0,0,0,0,3,37.5,0.0,0,0.0,0,8,3,0
Torrian Hampton,43324,S,BOWL GREEN,3,0,0,122,58.0,0,0,3,23.1,0.0,0,0,0.0,0,13,3,0,0,0,0,1,20.0,0.0,0,0.0,0,5,1,0
James Jennette III,43327,DI,BALL ST,12,0,0,117,62.6,1,8,152,99.4,7.2,11,4,4.3,2,158,157,11,0,1,2,40,100.0,12.5,5,8.8,2,43,43,5
Bryan Mead,43333,LB,OKLAHOMA,7,0,0,261,77.6,1,0,5,30.0,20.0,1,0,30.0,1,20,6,2,0,1,0,3,33.3,33.3,1,16.7,0,9,3,1
Trent Ellis-Brewer,43334,LB,ARK STATE,7,0,0,113,54.5,0,1,5,11.4,0.0,0,0,10.0,0,44,5,1,0,0,0,2,11.8,0.0,0,0.0,0,17,2,0
Myles Bryant,43336,CB,WASHINGTON,13,0,1,340,87.9,1,4,28,7.2,32.1,9,1,16.1,2,404,29,7,0,0,2,9,7.3,44.4,4,22.2,1,124,9,3
La'Mar Winston Jr.,43339,ED,OREGON,11,3,0,264,70.0,7,26,239,73.7,10.5,25,1,8.2,3,334,246,36,1,2,21,119,91.8,13.4,16,12.2,3,134,123,26
Tyrique McGhee,43341,CB,GEORGIA,13,0,0,173,62.0,0,5,17,5.6,5.9,1,0,14.7,0,302,17,5,0,0,2,4,3.2,25.0,1,25.0,0,124,4,2
DaMarcus Fields,43347,CB,TEXAS TECH,12,0,3,315,57.0,1,4,8,2.1,0.0,0,4,31.3,0,377,8,5,0,0,3,4,3.4,0.0,0,37.5,0,119,4,3
Andrew Pryts,43351,LB,STANFORD,3,0,0,300,54.2,0,0,5,20.0,0.0,0,0,0.0,0,25,5,0,0,0,0,1,10.0,0.0,0,0.0,0,10,1,0
Jaydon Grant,43354,CB,OREGON ST,10,0,0,265,52.5,0,2,8,7.8,0.0,0,1,12.5,0,102,8,2,0,0,0,3,8.3,0.0,0,0.0,0,36,3,0
Donovan Duvernay,43357,CB,TEXAS,1,0,0,311,55.4,0,0,2,8.7,0.0,0,0,0.0,0,23,2,0,0,0,0,2,18.2,0.0,0,0.0,0,11,2,0
C.J. Morgan,43360,S,MISS STATE,8,0,0,227,52.0,0,0,5,3.8,0.0,0,0,0.0,0,133,5,0,0,0,0,1,2.3,0.0,0,0.0,0,43,1,0
Trey Baldwin,43361,LB,LA TECH,2,0,0,208,60.0,0,1,1,20.0,0.0,0,0,50.0,0,5,1,1,0,0,0,0,0.0,,0,,0,2,0,0
Dalton Hicks,43363,LB,KENT STATE,11,0,0,201,52.8,0,6,17,12.5,5.9,1,0,17.6,0,144,18,6,0,0,2,12,32.4,0.0,0,8.3,0,37,12,2
Eric Burrell,43369,S,WISCONSIN,12,0,0,349,64.8,2,3,15,6.5,6.7,1,0,16.7,0,248,16,5,0,0,2,7,8.8,14.3,1,14.3,0,91,8,2
Dylan Conner,43381,S,OHIO,13,1,0,259,63.7,1,9,45,17.3,11.1,5,1,13.3,1,283,49,11,0,0,6,22,19.7,22.7,5,18.2,1,122,24,7
Tyshaun Ingram,43391,ED,UMASS,11,0,0,216,56.5,1,2,91,80.5,2.2,2,0,1.6,0,118,95,3,0,0,1,21,84.0,4.8,1,2.4,0,25,21,1
Erroll Thompson,43392,LB,MISS STATE,13,0,0,227,63.6,6,10,102,26.2,5.9,6,0,10.8,3,420,110,19,0,1,6,45,38.6,8.9,4,14.4,3,132,51,10
Christian Holmes,43393,CB,MISSOURI,13,0,1,229,50.3,1,0,7,1.9,14.3,1,7,7.1,0,371,7,1,0,0,0,0,0.0,,0,,0,114,0,0
Da'Von Brown,43394,S,FAU,12,0,0,165,65.6,1,0,5,3.5,0.0,0,1,10.0,0,142,5,1,0,1,0,2,4.0,0.0,0,25.0,0,50,2,1
Josh Metellus,43395,S,MICHIGAN,12,0,1,222,57.8,0,0,4,1.2,0.0,0,6,0.0,0,341,4,0,0,0,0,1,0.6,0.0,0,0.0,0,163,1,0
Baylen Buchanan,43400,CB,TENNESSEE,12,1,0,307,60.2,1,5,26,6.5,3.8,1,2,11.5,0,398,26,6,0,0,0,3,2.3,0.0,0,0.0,0,129,3,0
Linwood Crump,43401,CB,TEMPLE,13,0,1,306,58.3,0,0,1,0.4,0.0,0,3,0.0,0,238,1,0,0,0,0,1,1.1,0.0,0,0.0,0,90,1,0
Jacob Colacion,43407,LB,ARIZONA,5,0,0,109,52.6,0,0,4,17.9,0.0,0,0,0.0,0,28,5,0,0,0,0,4,66.7,0.0,0,0.0,0,6,4,0
Dedrion Bacote-Sweat,43412,ED,UCF,1,0,0,323,66.4,0,2,3,75.0,33.3,1,0,33.3,0,4,3,2,0,0,1,2,100.0,50.0,1,25.0,0,2,2,1
Skyler Thomas,43418,S,WASH STATE,13,0,0,341,55.6,0,2,13,2.8,7.7,1,2,7.7,0,466,13,2,0,0,1,6,5.0,16.7,1,8.3,0,120,6,1
Isaac Steele,43424,S,LIBERTY,12,0,0,206,56.9,0,1,9,1.9,0.0,0,3,5.6,0,463,9,1,0,0,0,1,0.5,0.0,0,0.0,0,200,1,0
Hauati Pututau,43425,DI,UTAH,14,2,0,328,56.7,1,9,235,99.6,3.4,8,0,2.6,1,251,250,11,2,1,6,119,100.0,4.2,5,3.8,1,126,126,8
Racheem Boothe,43426,LB,SO MISS,11,1,0,296,57.7,4,15,122,40.1,6.6,8,1,9.4,2,317,127,21,0,3,12,75,63.2,8.0,6,10.0,0,125,79,15
Michael Pitts,43431,ED,CINCINNATI,13,0,0,138,66.4,5,19,232,85.1,9.1,21,3,6.5,3,289,246,27,0,3,10,90,89.1,15.6,14,10.6,3,110,98,16
Jacob Covington,43432,DI,ARMY,12,0,0,114,57.8,1,4,118,100.0,2.5,3,0,2.1,0,122,122,5,0,0,2,31,100.0,3.2,1,3.2,0,31,31,2
Ayo Shogbonyo,43441,ED,ILLINOIS,8,0,0,187,62.6,2,3,68,100.0,5.9,4,0,5.1,1,71,71,6,0,1,2,29,100.0,13.8,4,8.6,1,30,30,4
Stanley Barnwell Jr.,43445,S,NEW MEXICO,11,0,1,241,64.1,0,0,7,3.0,0.0,0,3,14.3,1,264,8,1,0,0,0,0,0.0,,0,,0,101,0,0
Andrew Boczar,43447,DI,TOLEDO,5,0,0,316,59.1,0,1,21,100.0,4.8,1,0,2.4,0,23,23,1,0,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Elorm Lumor,43448,ED,RUTGERS,11,0,0,278,66.0,2,12,169,71.9,11.2,19,1,6.5,4,253,182,18,0,1,6,72,73.1,13.9,10,10.4,4,108,79,11
Daelin Hayes,43449,ED,NOTRE DAME,12,0,0,258,70.5,6,20,239,83.0,11.3,27,2,6.3,2,305,253,28,0,4,15,114,91.0,13.2,15,9.2,1,134,122,20
John Tate IV,43451,DI,MEMPHIS,14,1,0,218,65.8,3,8,197,100.0,4.6,9,1,4.8,4,215,215,15,0,1,2,46,100.0,2.2,1,3.3,0,52,52,3
Allen Cater,43452,ED,N CAROLINA,6,0,0,245,66.9,1,5,118,92.4,8.5,10,0,4.2,2,132,122,8,0,1,5,49,87.9,14.3,7,10.2,2,58,51,8
Trenton Thompson,43455,S,S DIEGO ST,13,0,0,284,54.4,0,0,10,4.5,0.0,0,2,0.0,0,289,13,0,0,0,0,1,0.9,0.0,0,0.0,0,111,1,0
Noel Cook,43456,ED,APP STATE,12,0,0,108,59.2,5,13,221,62.1,5.0,11,1,5.4,3,367,228,21,0,3,6,61,82.9,9.8,6,10.7,2,76,63,11
David Belvin III,43463,ED,FAU,3,0,0,165,62.4,0,1,13,100.0,7.7,1,0,11.5,1,14,14,2,0,0,1,11,100.0,9.1,1,13.6,1,12,12,2
Roland Walder,43464,ED,BOWL GREEN,7,0,1,122,55.5,1,3,63,98.6,1.6,1,3,6.3,2,71,70,6,0,0,0,25,100.0,0.0,0,4.0,1,28,28,1
Dee Walker,43465,LB,ARKANSAS,5,0,0,111,60.6,0,1,7,26.7,14.3,1,0,7.1,0,30,8,1,0,0,1,4,28.6,25.0,1,12.5,0,14,4,1
Bopete Keyes,43467,CB,TULANE,11,0,0,319,48.6,0,0,6,1.7,0.0,0,5,0.0,0,360,6,0,0,0,0,1,0.7,0.0,0,0.0,0,145,1,0
Barrington Wade,43472,LB,IOWA,4,0,0,192,56.0,0,0,5,31.3,0.0,0,0,0.0,0,16,5,0,0,0,0,3,30.0,0.0,0,0.0,0,10,3,0
Akil Jones,43475,LB,COLORADO,2,0,0,143,59.2,0,0,1,14.3,0.0,0,0,0.0,0,7,1,0,0,0,0,0,,,0,,0,0,0,0
Tim Walton Jr.,43476,ED,SYRACUSE,2,0,0,304,57.6,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,0,0,0,,,0,,0,0,0,0
Demetrius Stitmon,43485,LB,DOMINION,8,0,0,263,53.9,0,0,7,10.9,0.0,0,0,0.0,0,64,7,0,0,0,0,3,12.5,0.0,0,0.0,0,24,3,0
Curt Bletzer,43491,LB,BOSTON COL,2,0,0,121,60.0,0,0,1,12.5,0.0,0,0,0.0,0,8,1,0,0,0,0,0,,,0,,0,0,0,0
Jonathan Jones,43492,LB,NOTRE DAME,4,0,0,258,59.5,1,1,9,34.6,0.0,0,0,11.1,0,26,9,2,0,0,0,2,16.7,0.0,0,0.0,0,12,2,0
Osvelt Joseph,43497,ED,KANSAS ST,1,0,0,199,54.2,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Carter Coughlin,43498,ED,MINNESOTA,13,0,0,225,92.2,14,26,325,89.1,17.5,57,4,9.8,12,384,342,52,0,7,18,131,92.6,25.2,33,14.9,7,148,137,32
Nick Niemann,43500,LB,IOWA,10,0,0,192,55.2,0,2,24,14.1,0.0,0,0,8.3,1,192,27,3,0,0,2,11,13.8,0.0,0,18.2,1,94,13,3
