player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Dru Prox,23093,LB,UTSA,4,0,0,331,55.0,0,0,3,12.5,0.0,0,0,0.0,0,32,4,0,0,57.1,0,0,1,33.3,0.0,0,0.0,0,6,2,0
Colby Reeder,30285,LB,IOWA STATE,8,1,0,193,75.7,5,2,48,24.9,14.6,7,1,11.5,2,197,49,9,0,67.0,2,1,16,47.2,18.8,3,9.4,0,36,17,3
Kyle Pugh,35900,LB,N ILLINOIS,12,0,0,254,53.6,1,4,27,16.8,0.0,0,0,9.3,0,167,28,5,0,64.8,0,3,12,22.8,0.0,0,12.5,0,57,13,3
Jordan Carmouche,39951,LB,ARK STATE,12,0,0,113,52.3,2,5,45,12.4,2.2,1,1,10.0,1,371,46,8,0,50.8,0,4,18,15.3,0.0,0,11.1,0,124,19,4
Alema Pilimai,41395,ED,BYU,4,0,0,128,67.6,0,0,16,100.0,12.5,2,0,0.0,0,20,20,0,0,59.6,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Monte McGary,42477,CB,KANSAS,7,0,0,198,69.5,1,0,2,8.3,0.0,0,0,25.0,0,24,2,1,0,69.5,1,0,2,20.0,0.0,0,25.0,0,10,2,1
Bricen Garner,42520,S,W MICHIGAN,12,1,0,347,64.6,1,1,10,2.5,0.0,0,0,10.0,0,400,10,2,0,60.0,0,0,1,0.7,0.0,0,0.0,0,142,1,0
Brandon Moore,42620,CB,NEBRASKA,6,0,0,238,60.0,0,0,1,1.2,0.0,0,1,0.0,0,84,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
Brandon Bouyer-Randle,42637,LB,UCONN,13,1,0,146,64.2,3,11,153,41.8,9.2,14,0,5.2,1,388,162,15,0,65.7,3,5,77,62.1,15.6,12,5.2,0,132,82,8
Clifford Chattman,42657,S,UTSA,14,0,0,331,74.9,1,3,7,1.5,14.3,1,4,28.6,0,474,7,4,0,,0,0,0,0.0,,0,,0,150,0,0
Anthony Watts,42807,DI,MARSHALL,13,0,0,214,58.8,0,7,222,95.8,5.0,11,1,2.0,1,240,230,8,0,65.9,0,4,76,98.8,11.8,9,3.9,1,80,79,5
Ryan McWood,43189,LB,MIAMI OH,12,0,0,221,54.6,2,7,60,13.7,6.7,4,0,9.2,1,453,62,10,0,55.8,1,6,36,19.7,8.3,3,12.5,1,193,38,8
Jaydon Grant,43354,S,OREGON ST,12,0,0,265,51.0,1,6,21,4.6,0.0,0,2,21.4,1,481,22,8,0,46.8,0,4,11,5.8,0.0,0,18.2,0,191,11,4
Linwood Crump,43401,CB,NEW MEX ST,12,0,0,242,77.5,0,0,8,2.8,12.5,1,3,12.5,1,287,8,1,0,,0,0,0,0.0,,0,,0,87,0,0
Jon-Michael Terry,43635,LB,TULSA,12,0,1,320,59.0,2,14,86,23.9,8.1,7,2,11.6,2,380,91,18,0,64.2,1,7,34,52.1,11.8,4,14.7,1,71,37,9
Tyrone Hopper,43714,ED,MISSOURI,11,0,1,229,57.0,0,0,66,92.0,6.1,4,3,0.0,0,75,69,0,0,59.0,0,0,16,100.0,12.5,2,0.0,0,18,18,0
Sione Tupou,44093,LB,TEXAS ST,12,0,0,314,78.5,1,9,57,13.5,15.8,9,0,12.3,2,446,60,12,0,67.5,0,4,20,16.8,15.0,3,15.0,1,131,22,5
Semisi Fakasiieiki,44340,LB,PURDUE,11,0,0,273,77.8,0,1,4,4.7,25.0,1,1,12.5,0,107,5,1,0,80.4,0,0,1,2.8,100.0,1,0.0,0,36,1,0
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,0,0,174,55.9,0,2,8,19.0,0.0,0,0,12.5,0,58,11,2,0,58.5,0,1,5,26.1,0.0,0,10.0,0,23,6,1
Alden Tofa,51983,ED,BYU,13,0,0,128,59.5,1,5,92,80.7,7.6,7,0,4.3,1,119,96,7,0,59.2,0,1,25,92.9,8.0,2,2.0,0,28,26,1
Chaz Ah You,51989,S,BYU,2,0,0,128,59.5,0,0,1,10.0,0.0,0,0,0.0,0,10,1,0,0,,0,0,0,0.0,,0,,0,3,0,0
Earl Tuioti-Mariner,51992,ED,BYU,11,0,0,128,57.1,0,6,138,98.6,4.3,6,0,2.2,0,145,143,6,0,59.9,0,4,35,100.0,11.4,4,5.7,0,35,35,4
Lorenzo Fauatea,52005,DI,BYU,12,0,1,128,57.0,2,4,195,100.0,3.1,6,2,3.6,4,206,206,10,0,56.1,1,1,56,100.0,3.6,2,3.6,1,60,60,3
