player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jaylan Foster,13095,S,S CAROLINA,13,0,0,289,81.5,1,1,10,2.6,0.0,0,1,30.0,2,379,10,4,0,57.6,0,0,2,1.8,0.0,0,0.0,0,114,2,0
Mark Williams,21922,CB,LA MONROE,7,0,0,209,55.6,0,0,2,1.0,0.0,0,1,0.0,0,198,2,0,0,58.7,0,0,1,1.7,0.0,0,0.0,0,60,1,0
Devin Taylor,22317,CB,BOWL GREEN,12,0,0,122,53.0,1,2,8,2.2,12.5,1,7,18.8,0,365,8,3,0,63.2,1,0,1,0.7,0.0,0,50.0,0,146,1,1
Cortez Davis,22974,CB,HAWAII,13,0,0,180,64.1,1,2,17,2.9,11.8,2,5,14.7,1,592,17,4,0,68.0,1,0,4,2.5,25.0,1,12.5,0,162,4,1
Dru Prox,23093,LB,UTSA,8,0,0,331,86.8,2,3,11,14.1,27.3,3,0,31.8,1,78,11,6,0,71.2,0,2,6,30.0,33.3,2,16.7,0,20,6,2
Reggie Stubblefield,23441,S,KANSAS ST,12,1,0,199,65.7,1,6,51,17.5,11.8,6,2,8.8,1,297,52,8,0,61.7,0,3,18,37.3,16.7,3,8.3,0,51,19,3
Mikel Horton,23509,DI,CHARLOTTE,7,0,1,136,73.1,3,10,145,100.0,9.7,14,1,5.2,1,155,155,14,0,77.7,2,4,42,100.0,19.0,8,9.5,1,44,44,7
Colby Burton,23898,CB,HAWAII,6,0,0,180,57.2,0,0,2,3.3,0.0,0,1,0.0,0,60,2,0,0,,0,0,0,0.0,,0,,0,17,0,0
Darion Dunn,23963,CB,TEXAS,11,0,0,311,56.3,0,0,6,3.4,0.0,0,1,0.0,0,177,6,0,0,,0,0,0,0.0,,0,,0,48,0,0
Darren Evans,24171,CB,LSU,12,0,0,211,68.2,1,2,4,1.6,0.0,0,1,37.5,0,257,4,3,0,,0,0,0,0.0,,0,,0,84,0,0
Alvinoski LaFleur,24504,S,E MICHIGAN,11,0,0,160,76.5,0,1,6,2.3,0.0,0,0,41.7,2,298,7,3,0,65.6,0,1,3,3.9,0.0,0,50.0,1,102,4,2
Luc Bequette,25776,DI,CAL,11,5,0,130,66.2,3,10,272,97.4,6.6,18,0,3.5,3,302,294,16,2,64.7,1,6,116,95.3,9.5,11,4.7,2,129,123,9
Jeremiah Moon,26453,LB,FLORIDA,10,0,0,163,68.5,1,12,89,41.4,11.2,10,0,9.6,2,222,92,15,0,68.5,1,5,36,49.3,16.7,6,8.3,0,75,37,6
Brenden Schooler,28253,S,TEXAS,11,0,0,311,77.0,0,0,2,1.1,0.0,0,1,50.0,1,186,2,1,0,,0,0,0,0.0,,0,,0,46,0,0
Richard Moore,28853,LB,SMU,11,0,0,287,77.3,12,5,47,24.0,17.0,8,4,20.2,1,217,52,18,0,81.3,6,2,20,26.3,25.0,5,25.0,1,80,21,9
Jack Jones,29050,CB,ARIZONA ST,11,0,0,110,92.5,0,0,1,0.3,0.0,0,2,100.0,1,352,1,1,0,92.5,0,0,1,0.6,0.0,0,100.0,1,158,1,1
Adeeb Atariwa,30482,ED,VIRGINIA,2,0,0,335,63.1,0,1,15,100.0,13.3,2,0,3.3,0,16,16,1,0,57.1,0,0,3,100.0,0.0,0,0.0,0,4,4,0
