player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
JR Pace,10116,S,NWESTERN,9,0,1,256,61.5,0,1,6,1.6,16.7,1,2,8.3,0,365,6,1,0,63.2,0,1,1,1.0,100.0,1,50.0,0,104,1,1
Jaylan Foster,13095,S,S CAROLINA,7,0,0,289,68.1,0,1,3,1.9,33.3,1,1,16.7,0,155,3,1,0,,0,0,0,0.0,,0,,0,40,0,0
Joshua McMillon,13920,LB,ALABAMA,6,0,0,103,54.4,0,0,4,13.3,0.0,0,0,0.0,0,30,4,0,0,55.7,0,0,3,30.0,0.0,0,0.0,0,10,3,0
Devin Taylor,22317,S,VA TECH,10,0,0,337,52.0,0,0,11,3.0,0.0,0,0,0.0,0,363,11,0,0,55.9,0,0,4,2.8,0.0,0,0.0,0,145,4,0
Cortez Davis,22974,CB,HAWAII,8,0,0,180,89.8,3,4,26,11.2,23.1,6,2,17.3,1,242,27,8,0,87.8,1,1,10,14.1,10.0,1,20.0,1,71,10,3
Dru Prox,23093,LB,KANSAS,3,0,0,198,79.6,3,3,24,30.4,25.0,6,0,16.7,1,79,24,7,0,76.3,1,1,7,33.3,42.9,3,28.6,1,21,7,3
Mikel Horton,23509,DI,CHARLOTTE,4,0,0,136,67.7,0,4,65,100.0,9.2,6,2,3.1,0,71,71,4,0,64.8,0,2,18,100.0,11.1,2,5.6,0,21,21,2
Kingsley Onyirioha,23639,DI,TEXAS ST,5,0,0,314,58.7,0,4,74,100.0,6.8,5,0,2.7,0,75,75,4,0,61.3,0,1,18,100.0,11.1,2,2.8,0,18,18,1
Darren Evans,24171,CB,LSU,4,0,0,211,60.0,0,0,1,2.1,0.0,0,0,0.0,0,47,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
Alvinoski LaFleur,24504,CB,E MICHIGAN,6,1,0,160,51.5,0,1,32,15.2,0.0,0,0,1.6,0,211,32,1,0,54.0,0,0,4,7.7,0.0,0,0.0,0,52,4,0
Troy Warner,25770,S,BYU,12,0,0,128,66.7,1,1,5,1.4,20.0,1,1,20.0,0,365,5,2,0,,0,0,0,0.0,,0,,0,110,0,0
Luc Bequette,25776,DI,BOSTON COL,11,1,0,121,56.9,0,1,211,100.0,1.4,3,1,0.7,1,229,229,2,1,61.6,0,1,80,100.0,3.8,3,1.9,1,90,90,2
Zeandae Johnson,25779,ED,CAL,4,0,0,130,57.7,0,3,113,99.1,1.8,2,0,2.2,1,117,116,4,0,55.0,0,1,44,97.8,0.0,0,3.4,1,46,45,2
Mark Gilbert,26144,CB,DUKE,2,0,0,154,59.3,0,0,1,1.7,0.0,0,1,0.0,0,59,1,0,0,,0,0,0,0.0,,0,,0,31,0,0
Clay Holford,26345,ED,E MICHIGAN,2,0,0,160,54.2,0,0,15,88.9,0.0,0,0,0.0,0,18,16,0,0,55.9,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Jeremiah Moon,26453,ED,FLORIDA,4,0,0,163,67.3,1,6,71,67.0,9.9,7,0,6.3,1,112,75,8,0,64.2,1,1,24,71.4,12.5,3,8.3,1,35,25,3
David Curry,26573,LB,GA TECH,10,0,0,176,76.6,3,12,102,25.6,18.6,19,1,11.3,4,418,107,19,0,74.6,2,8,42,29.2,23.8,10,14.3,1,154,45,11
Bracken El-Bakri,26924,DI,BYU,11,0,0,128,55.6,3,6,208,100.0,5.3,11,0,2.6,1,224,224,10,0,59.5,1,3,58,100.0,10.3,6,5.2,1,65,65,5
Michael Dwumfour,27376,DI,RUTGERS,8,0,2,278,71.8,7,14,195,99.5,9.2,18,7,5.9,1,211,210,22,0,72.9,4,9,71,100.0,14.1,10,9.2,0,77,77,13
Justus Reed,27708,ED,VA TECH,11,0,0,337,71.1,4,24,250,93.9,10.8,27,3,8.8,8,277,260,36,0,73.3,2,12,88,92.9,17.0,15,12.5,4,99,92,18
Rodjay Burns,28078,LB,LOUISVILLE,11,0,0,210,66.0,0,5,67,21.8,7.5,5,0,8.2,3,317,69,8,0,65.5,0,3,24,26.1,16.7,4,6.3,0,92,24,3
Justin Hilliard,28079,LB,OHIO STATE,6,1,0,260,72.6,0,2,10,7.7,20.0,2,1,10.0,0,130,10,2,0,57.9,0,0,2,5.9,0.0,0,0.0,0,34,2,0
Richard Moore,28853,LB,SMU,1,0,0,287,58.5,0,0,2,28.6,0.0,0,0,0.0,0,7,2,0,0,,0,0,0,0.0,,0,,0,1,0,0
Richard Burney,29120,DI,VIRGINIA,5,1,0,335,60.5,0,7,114,100.0,5.3,6,0,5.7,3,122,122,10,0,53.9,0,1,33,100.0,6.1,2,1.5,0,36,36,1
Garrett Rand,29616,DI,WISCONSIN,6,0,1,349,54.0,0,2,159,100.0,3.1,5,2,0.6,0,173,173,2,0,53.1,0,1,63,100.0,3.2,2,0.8,0,68,68,1
D'Angelo Amos,30344,S,VIRGINIA,10,0,0,335,56.9,0,0,4,1.2,0.0,0,1,0.0,0,321,4,0,0,58.6,0,0,1,1.0,0.0,0,0.0,0,101,1,0
Adeeb Atariwa,30482,DI,VIRGINIA,10,0,0,335,57.1,1,6,164,100.0,4.3,7,1,2.7,1,170,170,8,0,61.3,1,3,24,100.0,8.3,2,8.3,0,24,24,4
Marshaun Cameron,30624,CB,COLO STATE,4,0,0,144,91.2,0,0,3,2.2,0.0,0,1,33.3,1,136,3,1,0,92.9,0,0,1,2.2,0.0,0,100.0,1,45,1,1
