player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Joey Bosa,10637,ED,OHIO STATE,12,1,0,260,90.4,21,42,330,94.8,20.9,69,8,11.7,7,366,347,70,0,91.4,7,24,119,96.2,34.5,41,17.2,5,131,126,36
Jalen Ramsey,10639,CB,FLORIDA ST,13,2,0,167,61.4,2,4,38,7.7,2.6,1,3,10.5,1,505,39,7,0,58.8,1,4,15,9.6,6.7,1,23.3,1,166,16,6
DeForest Buckner,10641,DI,OREGON,13,5,1,264,84.7,16,39,534,99.1,14.2,76,2,7.4,12,566,561,67,1,89.6,13,20,179,100.0,24.0,43,15.9,12,188,188,45
Leonard Floyd,10643,ED,GEORGIA,13,0,0,173,91.2,8,30,179,54.1,26.8,48,3,12.8,4,338,183,42,0,90.1,5,17,73,65.8,28.8,21,19.2,3,117,77,25
Eli Apple,10644,CB,OHIO STATE,13,0,1,260,68.5,1,0,3,0.6,33.3,1,5,16.7,0,485,3,1,0,66.7,1,0,0,0.0,,1,,0,180,0,1
Sheldon Rankins,10646,DI,LOUISVILLE,13,1,0,210,71.1,8,29,375,98.2,10.7,40,1,6.5,6,394,387,43,0,67.5,5,13,163,99.4,12.9,21,9.2,6,171,170,24
Karl Joseph,10648,S,W VIRGINIA,4,0,0,343,64.9,0,1,8,6.6,12.5,1,0,18.8,1,122,8,2,0,60.0,0,0,1,5.6,0.0,0,0.0,0,18,1,0
Keanu Neal,10651,S,FLORIDA,12,1,1,163,65.0,1,2,8,2.3,0.0,0,2,31.3,1,354,8,4,0,71.8,0,1,3,2.1,0.0,0,50.0,1,141,3,2
Shaq Lawson,10653,ED,CLEMSON,15,0,1,140,80.1,12,25,347,92.2,13.8,48,7,9.1,13,395,364,50,0,78.7,2,15,128,92.5,18.8,24,10.5,5,147,136,22
Darron Lee,10654,LB,OHIO STATE,13,0,0,260,81.6,5,13,101,22.9,12.9,13,2,12.9,4,468,107,22,0,86.6,1,9,52,30.9,15.4,8,17.3,4,175,54,14
William Jackson III,10658,CB,HOUSTON,12,0,1,182,48.3,0,0,2,0.4,0.0,0,5,0.0,0,474,2,0,0,48.3,0,0,2,1.1,0.0,0,0.0,0,184,2,0
Artie Burns,10659,CB,MIAMI FL,12,0,1,220,42.6,0,1,5,1.5,0.0,0,9,10.0,0,340,5,1,0,44.5,0,1,2,1.3,0.0,0,25.0,0,156,2,1
Kenny Clark,10661,DI,UCLA,13,3,0,324,76.6,3,31,428,99.6,11.4,49,1,5.6,7,460,458,41,2,80.5,3,21,166,100.0,19.3,32,10.8,6,178,178,30
Robert Nkemdiche,10663,DI,OLE MISS,11,2,1,226,80.7,6,27,331,99.7,12.7,42,3,6.2,4,348,347,37,0,75.8,3,13,129,100.0,16.3,21,8.5,3,136,136,19
Vernon Butler,10664,DI,LA TECH,13,2,1,208,74.2,9,28,398,99.3,9.8,39,6,5.2,2,410,407,39,1,71.3,4,12,134,98.6,13.4,18,7.5,2,141,139,18
Emmanuel Ogbah,10666,ED,OKLA STATE,13,3,0,262,86.8,18,48,406,97.5,16.7,68,0,11.1,12,440,429,78,0,80.5,4,21,138,98.0,21.0,29,14.1,7,151,148,32
Kevin Dodd,10667,ED,CLEMSON,15,0,0,140,75.3,9,48,401,93.9,16.2,65,0,10.1,12,445,418,69,0,71.8,4,17,141,92.0,21.3,30,11.7,6,163,150,27
Jaylon Smith,10668,LB,NOTRE DAME,13,2,0,258,81.2,7,7,43,11.5,18.6,8,1,16.3,0,399,46,14,0,82.5,4,4,19,15.2,31.6,6,21.1,0,132,20,8
Myles Jack,10670,LB,UCLA,3,0,1,324,66.8,0,0,6,6.5,0.0,0,4,0.0,0,107,7,0,0,59.7,0,0,1,2.9,0.0,0,0.0,0,35,1,0
Chris Jones,10671,DI,MISS STATE,13,4,0,227,91.3,12,34,311,99.1,16.7,52,1,8.4,3,327,324,49,0,90.2,3,11,85,97.8,23.5,20,9.4,1,90,88,15
Xavien Howard,10672,CB,BAYLOR,13,0,1,118,66.0,1,1,2,0.4,50.0,1,7,50.0,0,518,2,2,0,59.4,0,1,1,0.7,0.0,0,50.0,0,141,1,1
Reggie Ragland,10675,LB,ALABAMA,15,3,0,103,75.6,5,12,103,22.8,11.7,12,0,11.2,3,474,108,20,0,68.8,4,7,55,32.8,12.7,7,11.8,1,174,57,12
Kamalei Correa,10676,ED,BOISE ST,13,0,0,120,83.1,12,16,238,74.6,13.9,33,3,9.2,8,338,252,36,0,84.7,5,8,74,95.1,21.6,16,15.5,5,81,77,18
Austin Johnson,10677,DI,PENN STATE,13,2,1,266,66.7,2,14,325,98.8,5.8,19,2,4.6,7,341,337,23,1,63.2,1,6,116,96.8,6.9,8,6.5,4,124,120,11
Jihad Ward,10678,ED,ILLINOIS,12,1,0,187,59.4,6,16,330,100.0,6.1,20,3,4.2,3,344,344,25,0,56.8,3,6,106,100.0,7.5,8,5.2,1,110,110,10
A'Shawn Robinson,10680,DI,ALABAMA,15,3,0,103,66.8,3,17,341,100.0,7.3,25,0,3.8,3,357,357,23,1,66.4,3,7,131,100.0,9.9,13,4.6,1,134,134,11
Jarran Reed,10683,DI,ALABAMA,15,5,0,103,70.6,1,17,260,100.0,6.5,17,1,4.2,2,276,276,20,1,63.3,0,5,84,100.0,7.1,6,4.2,1,89,89,6
Deion Jones,10686,LB,LSU,12,0,0,211,80.1,9,11,57,13.7,12.3,7,3,26.3,5,460,63,25,0,75.2,3,8,24,16.2,20.8,5,27.1,1,173,28,12
Su'a Cravens,10687,S,USC,14,2,0,326,69.8,1,8,106,24.2,7.5,8,1,9.9,6,450,109,15,0,65.8,1,4,45,22.4,15.6,7,10.0,2,201,45,7
Mackensie Alexander,10688,CB,CLEMSON,14,0,1,140,68.8,1,0,3,0.7,0.0,0,2,16.7,0,416,3,1,0,57.0,0,0,2,1.3,0.0,0,0.0,0,149,2,0
T.J. Green,10691,S,CLEMSON,15,0,0,140,62.8,1,2,10,2.4,10.0,1,1,25.0,1,468,11,4,0,61.7,0,1,3,2.4,33.3,1,16.7,0,169,4,1
Sean Davis,10692,CB,MARYLAND,12,0,0,215,63.5,0,2,6,1.4,0.0,0,5,33.3,1,439,6,3,0,55.9,0,0,2,1.2,0.0,0,0.0,0,162,2,0
