player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Mason White,43872,CB,OREGON ST,9,0,1,265,55.9,0,0,2,3.1,0.0,0,1,0.0,0,64,2,0,0,,0,0,0,0.0,,0,,0,18,0,0
Zaid Hamdan,52925,DI,KENT STATE,12,0,1,201,64.3,2,5,148,100.0,6.8,10,3,2.4,0,154,154,7,0,56.1,0,1,37,100.0,2.7,1,1.4,0,39,39,1
Deshawn Pace,53549,LB,UCF,12,0,0,323,56.0,3,6,58,15.8,8.6,5,2,7.8,0,380,60,9,0,47.4,2,2,19,13.1,5.3,1,10.5,0,145,19,4
Eric Phillips,53572,ED,CINCINNATI,12,0,0,138,63.3,4,25,249,99.6,11.2,28,4,7.0,3,262,261,32,0,62.8,1,2,22,100.0,22.7,5,11.4,1,22,22,4
Jaheim Thomas,54193,LB,WISCONSIN,11,0,0,349,67.9,0,5,41,20.3,14.6,6,2,8.5,1,207,42,6,0,63.2,0,2,29,33.7,13.8,4,3.4,0,89,30,2
Cheikhsaliou Fall,54240,ED,CAL,13,1,1,130,55.3,5,4,164,98.8,2.4,4,2,3.4,1,172,170,10,0,58.1,0,1,39,100.0,7.7,3,1.3,0,42,42,1
Malik Denkins,55516,ED,C MICHIGAN,3,0,0,134,64.3,0,0,6,100.0,0.0,0,0,16.7,1,6,6,1,0,69.7,0,0,1,100.0,0.0,0,100.0,1,1,1,1
Jaiden Cameron,62277,ED,NWESTERN,6,1,0,256,63.8,0,2,26,96.4,7.7,2,0,3.8,0,28,27,2,1,67.9,0,1,7,100.0,14.3,1,7.1,0,7,7,1
Alex Howard,62494,LB,DUKE,13,0,0,154,74.5,4,9,65,20.4,12.3,8,4,23.8,9,329,67,22,0,77.7,2,7,28,24.0,21.4,6,37.5,6,121,29,15
Barry Brown,62724,LB,COAST CAR,13,0,1,141,67.9,1,1,34,18.4,11.8,4,3,2.9,0,217,40,2,0,63.7,1,0,8,19.3,12.5,1,6.3,0,57,11,1
