player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Terris Lewis,50814,LB,TROY,5,0,0,318,55.3,0,0,6,6.5,0.0,0,0,0.0,0,93,6,0,0,59.1,0,0,1,4.5,0.0,0,0.0,0,22,1,0
Russell Farris,50818,LB,LA TECH,7,0,0,208,60.4,0,2,18,26.1,11.1,2,0,5.6,0,69,18,2,0,60.0,0,1,7,22.6,14.3,1,7.1,0,31,7,1
Tegray Scales,50819,LB,INDIANA,12,0,0,190,57.4,2,6,52,20.4,1.9,1,1,11.5,2,260,53,10,0,55.2,1,2,15,18.5,0.0,0,16.7,1,81,15,4
Marcos Curry,50821,LB,UTSA,9,0,0,331,58.7,1,0,10,18.6,10.0,1,0,5.0,0,59,11,1,0,59.5,0,0,1,11.1,0.0,0,0.0,0,9,1,0
Courtney Love,50823,LB,NEBRASKA,4,0,0,238,54.8,0,1,5,29.4,0.0,0,0,10.0,0,17,5,1,0,54.8,0,1,5,35.7,0.0,0,10.0,0,14,5,1
Tre'Maine Lightfoot,50824,LB,LA LAFAYET,7,0,0,207,51.8,1,1,14,7.3,0.0,0,0,7.1,0,218,16,2,0,54.4,0,1,5,6.0,0.0,0,10.0,0,84,5,1
Aiavion Edwards,50825,LB,BAYLOR,9,0,0,118,57.6,0,6,32,18.4,3.1,1,0,15.6,2,190,35,8,0,56.0,0,2,13,19.4,0.0,0,15.4,1,67,13,3
Tony Lashley,50827,LB,IDAHO,6,0,0,185,65.0,1,5,13,15.1,0.0,0,1,23.1,0,86,13,6,0,56.7,0,1,3,12.5,0.0,0,16.7,0,24,3,1
Jeremy Timpf,50828,LB,ARMY,12,0,0,114,61.8,7,5,63,17.3,7.9,5,0,11.1,1,393,68,13,0,59.2,3,2,26,28.4,11.5,3,9.6,0,102,29,5
Kimmie Carson,50831,LB,NEW MEXICO,12,0,0,241,72.5,1,2,24,12.8,4.2,1,0,14.6,2,219,28,5,0,68.6,0,1,11,17.4,9.1,1,13.6,1,69,12,2
Xavier Woodson-Luster,50835,LB,ARK STATE,13,0,0,113,67.8,5,11,76,17.6,6.6,5,1,15.8,4,442,78,20,0,64.9,1,6,25,17.9,12.0,3,18.0,1,140,25,8
Elijah Parker,50841,LB,SO MISS,10,1,0,296,67.4,0,3,10,9.4,10.0,1,0,15.0,0,106,10,3,0,57.6,0,1,2,7.4,0.0,0,25.0,0,27,2,1
Noor Davis,50842,LB,STANFORD,12,0,0,300,62.9,0,2,6,10.1,16.7,1,0,16.7,0,69,7,2,0,66.2,0,2,3,16.7,33.3,1,33.3,0,24,4,2
Junior Joseph,50845,LB,UCONN,11,0,0,146,52.6,0,1,19,10.3,5.3,1,1,2.6,0,204,21,1,0,54.3,0,0,4,7.1,0.0,0,0.0,0,56,4,0
Jackson Mitchell,50846,LB,SMU,8,0,0,287,55.3,0,0,5,19.2,0.0,0,0,0.0,0,26,5,0,0,59.4,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Zack Ryan,50857,LB,BALL ST,12,0,0,117,62.3,3,6,46,11.8,13.0,6,1,14.1,2,407,48,11,0,57.7,0,3,25,17.4,12.0,3,10.0,1,144,25,4
Reggie Carter Jr.,50858,LB,GEORGIA,10,0,0,173,56.1,0,1,5,9.5,0.0,0,0,10.0,0,63,6,1,0,56.7,0,1,2,12.0,0.0,0,25.0,0,25,3,1
Kris Williams,50861,ED,TEXAS TECH,7,0,0,315,58.4,0,0,10,61.1,0.0,0,0,0.0,0,18,11,0,0,63.6,0,0,3,80.0,0.0,0,0.0,0,5,4,0
Mike McCray,50862,LB,MICHIGAN,1,0,0,222,57.9,0,0,2,14.3,0.0,0,0,0.0,0,14,2,0,0,,0,0,0,0.0,,0,,0,1,0,0
Anthony Williams,50863,LB,UTAH ST,7,0,0,329,74.5,2,3,17,30.4,29.4,5,0,14.7,0,56,17,5,0,54.4,0,1,7,46.7,0.0,0,7.1,0,15,7,1
Stephaun Marshall,50864,LB,TEMPLE,11,0,0,306,73.6,1,0,20,12.0,5.0,1,0,12.5,2,167,20,3,0,67.3,0,0,8,15.4,0.0,0,25.0,2,52,8,2
Nigel Bowden,50866,LB,VANDERBILT,11,0,0,333,46.8,1,3,37,12.1,2.7,1,1,8.1,1,322,39,5,0,53.4,1,1,16,20.7,6.3,1,12.5,1,87,18,3
Matt Lea,50869,S,UNLV,11,0,0,325,42.6,0,3,15,12.8,0.0,0,0,10.0,0,133,17,3,0,52.2,0,1,7,16.0,0.0,0,7.1,0,50,8,1
Micah Kiser,50879,LB,VIRGINIA,2,0,0,335,59.5,0,0,1,10.0,0.0,0,0,0.0,0,10,1,0,0,,0,0,0,0.0,,0,,0,2,0,0
DeMarquis Gates,50881,LB,OLE MISS,8,0,0,226,66.5,0,0,2,6.7,50.0,1,0,0.0,0,30,2,0,0,,0,0,0,0.0,,0,,0,11,0,0
Ro'Derrick Hoskins,50883,LB,FLORIDA ST,3,0,0,167,59.9,0,0,1,12.5,0.0,0,0,0.0,0,8,1,0,0,,0,0,0,,,0,,0,0,0,0
Michael Barton,50887,LB,CAL,12,0,0,130,59.4,3,6,46,12.2,4.3,2,2,12.0,1,418,51,10,0,58.7,0,4,18,17.1,5.6,1,16.7,1,129,22,5
Alex Lyons,50888,LB,RICE,13,0,0,275,71.6,4,11,32,9.9,9.4,3,0,32.8,3,342,34,18,0,53.4,0,5,10,7.6,0.0,0,35.0,1,144,11,6
T.J. Holloman,50889,LB,S CAROLINA,13,0,0,289,66.3,2,3,35,20.4,8.6,3,0,10.0,1,181,37,6,0,67.6,1,2,8,15.5,25.0,2,18.8,0,58,9,3
Marcus Oliver,50890,LB,INDIANA,3,0,0,190,66.2,0,1,3,3.8,33.3,1,0,16.7,0,80,3,1,0,,0,0,0,0.0,,0,,0,21,0,0
Emmanuel Ellerbee,50893,LB,RICE,6,0,0,275,58.3,1,0,2,5.1,0.0,0,0,25.0,0,39,2,1,0,,0,0,0,0.0,,0,,0,8,0,0
Auggie Sanchez,50894,LB,USF,12,1,0,327,64.1,4,5,38,11.5,5.3,2,0,11.8,0,348,40,9,0,50.8,1,2,12,12.0,0.0,0,12.5,0,108,13,3
Pat Green,50895,LB,E CAROLINA,2,0,0,156,64.4,0,1,4,80.0,25.0,1,0,12.5,0,5,4,1,0,57.2,0,0,3,75.0,0.0,0,0.0,0,4,3,0
Dalton Herrington,50896,S,NEW MEX ST,12,0,0,242,59.5,5,5,71,23.3,2.8,2,1,8.5,1,318,74,11,0,57.1,2,3,24,36.1,0.0,0,10.4,0,72,26,5
Craig Suits,50898,LB,TULSA,12,2,0,320,68.9,2,4,38,9.1,2.6,1,2,10.5,1,429,39,7,0,54.7,0,2,7,4.9,0.0,0,14.3,0,142,7,2
Jonathan Walton,50900,LB,S CAROLINA,13,0,0,289,55.3,2,1,30,14.7,3.3,1,4,5.0,0,211,31,3,0,53.4,0,0,6,9.1,0.0,0,0.0,0,66,6,0
Nate Locke,50902,LB,BOWL GREEN,11,0,0,122,59.8,0,2,22,14.4,9.1,2,0,4.5,0,153,22,2,0,56.4,0,0,4,9.8,0.0,0,0.0,0,41,4,0
Drew Motuapuaka,50904,LB,VA TECH,7,0,0,337,59.1,0,5,42,31.2,11.9,5,0,10.7,2,138,43,7,0,66.5,0,4,20,55.6,20.0,4,20.0,2,36,20,6
Richie Brown,50908,LB,MISS STATE,13,0,0,227,66.9,1,3,26,14.6,7.7,2,0,7.7,0,178,26,4,0,60.7,1,1,13,18.3,7.7,1,7.7,0,71,13,2
Jaylen Prater,50909,LB,NWESTERN,4,0,0,256,59.4,0,0,1,6.7,0.0,0,0,0.0,0,15,1,0,0,,0,0,0,0.0,,0,,0,7,0,0
P.J. Davis Jr.,50910,LB,GA TECH,14,0,0,176,78.2,4,8,66,16.8,13.6,9,3,16.7,5,423,71,17,0,79.2,2,2,29,18.4,13.8,4,20.7,4,174,32,8
Stacy Thomas,50914,ED,LOUISVILLE,1,0,0,210,56.8,0,0,4,21.1,0.0,0,0,0.0,0,19,4,0,0,58.2,0,0,2,28.6,0.0,0,0.0,0,7,2,0
Robert Spillane,50918,LB,W MICHIGAN,12,0,0,347,60.0,3,9,52,23.1,3.8,2,1,19.2,4,242,56,16,0,55.4,1,3,22,24.2,0.0,0,13.6,1,95,23,5
Nyles Morgan,50920,LB,NOTRE DAME,7,0,1,258,54.6,1,6,24,15.2,8.3,2,4,14.6,0,165,25,7,0,56.0,0,1,9,15.6,11.1,1,5.6,0,64,10,1
Grant Dawson,50921,LB,WAKE,10,0,0,339,62.2,0,0,6,12.7,0.0,0,2,0.0,0,55,7,0,0,65.9,0,0,2,16.7,0.0,0,0.0,0,18,3,0
Alonzo McGee,50926,LB,UAB,12,0,0,321,62.1,3,14,90,40.3,10.0,9,0,10.6,1,233,94,18,0,58.6,0,7,42,61.1,11.9,5,10.7,1,72,44,8
Tayler Polk,50931,LB,OLE MISS,6,0,0,226,64.7,1,0,6,20.0,0.0,0,0,8.3,0,30,6,1,0,57.5,0,0,2,20.0,0.0,0,0.0,0,10,2,0
Tre' Williams,50934,LB,AUBURN,6,0,0,115,67.0,0,1,6,22.2,33.3,2,0,8.3,0,36,8,1,0,70.0,0,1,4,27.8,50.0,2,12.5,0,18,5,1
Totauhelotu Lotulelei,50935,LB,UNLV,13,0,0,325,67.8,5,11,54,19.7,5.6,3,2,20.4,3,294,58,19,0,70.2,1,8,25,22.6,12.0,3,30.0,3,115,26,12
Michael Scherer,50936,LB,MISSOURI,14,1,0,229,60.2,1,8,39,7.9,7.7,3,3,11.5,0,522,41,9,0,70.4,1,2,13,8.6,15.4,2,11.5,0,175,15,3
Rodney Butler,50938,LB,NEW MEX ST,12,0,0,242,65.3,5,9,49,16.8,4.1,2,0,14.3,0,304,51,14,0,65.8,1,3,11,16.9,0.0,0,18.2,0,65,11,4
Cam White,50941,LB,E CAROLINA,4,0,0,156,55.8,0,0,4,16.0,0.0,0,0,0.0,0,25,4,0,0,59.3,0,0,1,7.1,0.0,0,0.0,0,14,1,0
Matthew Thomas,50942,LB,FLORIDA ST,8,0,0,167,68.4,1,1,10,11.9,20.0,2,1,10.0,0,84,10,2,0,66.9,0,1,3,9.7,33.3,1,16.7,0,31,3,1
Nate Ozdemir,50944,LB,FAU,6,0,0,165,57.3,0,0,3,7.7,0.0,0,0,0.0,0,39,3,0,0,58.3,0,0,2,16.7,0.0,0,0.0,0,12,2,0
Brian Mills,50945,LB,IOWA STATE,4,0,0,193,52.8,1,1,12,14.1,8.3,1,0,8.3,0,92,13,2,0,56.0,0,0,2,14.3,0.0,0,0.0,0,21,3,0
Trent Martin,50948,LB,TULSA,9,0,0,320,74.7,2,5,34,12.1,11.8,4,0,16.2,2,297,36,9,0,76.3,0,3,17,20.0,23.5,4,14.7,1,90,18,4
Eric Thomas,50956,LB,TULANE,11,0,0,319,71.5,1,6,22,22.9,13.6,3,0,20.5,1,96,22,8,0,53.6,0,0,5,20.0,0.0,0,0.0,0,25,5,0
Isaiah Worthy,50960,LB,DOMINION,6,0,0,263,65.4,2,0,13,23.6,0.0,0,0,7.7,0,55,13,2,0,65.9,1,0,3,23.1,0.0,0,16.7,0,13,3,1
Steven Taylor,50964,LB,HOUSTON,11,1,0,182,75.0,4,9,48,16.1,8.3,4,0,21.9,4,304,49,17,0,73.5,4,3,19,20.4,10.5,2,23.7,1,93,19,8
