player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Enoch Smith Jr.,12534,DI,OKLA STATE,12,0,0,262,72.4,3,9,109,100.0,11.9,13,0,7.3,2,114,114,14,0,74.3,3,5,28,100.0,25.0,7,14.3,0,29,29,8
Jeffrey Allison,12542,LB,FRESNO ST,14,0,1,169,62.0,5,13,87,19.2,9.2,8,2,12.6,2,496,95,20,0,63.3,2,6,29,23.2,17.2,5,17.2,1,138,32,9
Petera Wilson Jr.,12610,ED,TULSA,11,0,0,320,67.9,2,5,70,56.3,10.0,7,4,9.3,3,135,76,10,0,66.8,2,1,15,57.6,13.3,2,10.0,0,33,19,3
Chase Dutra,12648,S,INDIANA,12,0,0,190,58.9,0,0,2,0.6,0.0,0,1,0.0,0,324,2,0,0,,0,0,0,0.0,,0,,0,118,0,0
Sione Takitaki,12666,ED,BYU,13,0,0,128,81.9,12,27,260,80.6,14.6,38,1,9.8,6,340,274,45,0,78.8,4,16,88,97.9,20.5,18,13.6,2,95,93,22
Rashaan Falemalu,12678,LB,HAWAII,1,0,0,180,65.5,0,0,2,42.9,0.0,0,0,0.0,0,7,3,0,0,59.4,0,0,0,50.0,,0,,0,2,1,0
Robert Bullard,12729,CB,AIR FORCE,6,0,0,101,58.3,0,0,1,1.6,0.0,0,2,0.0,0,63,1,0,0,,0,0,0,0.0,,0,,0,19,0,0
Hunter Crafford,12737,LB,N CAROLINA,4,0,0,245,60.0,0,1,1,5.6,0.0,0,0,50.0,0,18,1,1,0,,0,0,0,0.0,,0,,0,1,0,0
Kamal Martin,12744,ED,MINNESOTA,12,0,0,225,66.5,8,9,142,49.0,11.3,16,2,7.4,2,306,150,19,0,67.0,4,6,69,59.8,15.9,11,10.1,2,122,73,12
Penitito Faalologo,12759,DI,HAWAII,6,0,0,180,58.9,1,1,95,100.0,4.2,4,0,1.1,0,100,100,2,0,53.9,0,0,23,100.0,0.0,0,0.0,0,24,24,0
Hootie Jones,12886,S,ALABAMA,12,0,0,103,53.1,1,0,7,2.3,0.0,0,2,7.1,0,344,8,1,0,54.1,0,0,3,2.8,0.0,0,0.0,0,143,4,0
Anthony Moten Jr.,12893,DI,MIAMI FL,12,0,0,220,61.8,1,6,145,100.0,4.1,6,1,2.4,0,153,153,7,0,64.6,0,5,46,100.0,10.9,5,5.4,0,48,48,5
Ken Webster,12955,CB,OLE MISS,10,0,0,226,60.0,0,0,1,0.6,0.0,0,0,0.0,0,171,1,0,0,,0,0,0,0.0,,0,,0,71,0,0
Garrison Mitchell,12962,CB,UAB,13,0,1,321,51.1,2,1,18,5.2,0.0,0,3,8.3,0,349,18,3,0,53.6,0,1,5,5.3,0.0,0,10.0,0,95,5,1
Myles Davenport,12964,LB,NAVY,7,0,0,237,68.6,0,3,22,88.0,18.2,4,0,6.8,0,25,22,3,0,70.8,0,2,5,100.0,40.0,2,20.0,0,5,5,2
Reggie Robinson II,13094,CB,TULSA,12,0,3,320,55.0,0,1,2,0.9,0.0,0,5,25.0,0,321,3,1,0,59.3,0,0,0,1.4,,0,,0,71,1,0
Dalton Fields,13105,G,WYOMING,2,0,0,351,58.0,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,58.7,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Jabril Robinson,13396,DI,CLEMSON,10,2,0,140,55.2,1,3,108,98.2,0.0,0,0,1.9,0,111,109,4,1,55.9,0,1,31,97.0,0.0,0,1.6,0,33,32,1
Abraham Wallace,13581,CB,TEXAS TECH,1,0,0,315,60.0,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Corey Bell Jr.,13596,CB,N CAROLINA,3,0,0,245,55.8,0,0,4,5.6,0.0,0,0,0.0,0,72,4,0,0,59.2,0,0,1,3.2,0.0,0,0.0,0,31,1,0
Jeremy McDuffie,13599,CB,DUKE,11,0,0,154,69.9,0,2,7,2.8,14.3,1,4,14.3,0,288,8,2,0,64.0,0,1,4,4.0,25.0,1,12.5,0,124,5,1
DeShawn Capers-Smith,13604,S,TEXAS A&M,13,1,0,312,58.3,2,3,42,21.2,2.4,1,0,10.7,2,198,42,7,0,57.4,1,1,25,23.8,4.0,1,8.0,1,105,25,3
Will Lockett,13605,S,UCLA,10,0,0,324,,0,0,1,0.9,0.0,0,1,0.0,0,111,1,0,0,,0,0,0,0.0,,0,,0,50,0,0
Adonis Alexander,13612,CB,VA TECH,9,0,0,337,65.4,0,2,8,3.2,12.5,1,2,25.0,1,251,8,3,0,60.2,0,1,5,6.9,0.0,0,30.0,1,72,5,2
Tanner Karafa,13787,LB,BOSTON COL,13,1,0,121,59.9,2,6,111,92.0,9.9,11,0,3.6,0,125,115,8,0,68.3,2,5,49,98.1,18.4,9,7.1,0,53,52,7
Aaron Roberson,13789,CB,LA TECH,11,0,0,208,56.3,0,0,3,1.5,0.0,0,0,0.0,0,206,3,0,0,,0,0,0,0.0,,0,,0,62,0,0
Tyrin Ferguson,13817,LB,NEBRASKA,2,0,0,238,56.6,0,0,6,27.3,0.0,0,0,0.0,0,22,6,0,0,,0,0,0,0.0,,0,,0,3,0,0
Daniel Jackson,13819,ED,W MICHIGAN,6,0,0,347,62.6,1,2,36,100.0,8.3,3,0,4.2,0,36,36,3,0,64.5,1,1,11,100.0,18.2,2,9.1,0,11,11,2
Trevon Hill,13821,ED,VA TECH,13,0,0,337,70.2,7,18,311,92.3,10.0,31,1,6.3,7,350,323,32,0,70.2,1,5,88,98.9,15.9,14,9.1,5,93,92,11
