player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,year
Cap Capi,10048,ED,AKRON,12,2,1,102,71.5,9,23,365,99.5,7.9,29,8,5.8,5,386,384,37,0,74.9,3,10,98,99.1,13.3,13,7.7,1,108,107,14,2014
Carderious Dean,17822,ED,ARK STATE,12,1,0,113,59.7,0,7,135,93.9,3.0,4,0,3.3,1,148,139,8,0,61.9,0,5,43,100.0,7.0,3,5.8,0,44,44,5,2014
Carl Granderson,48500,ED,WYOMING,11,2,1,351,73.4,16,17,297,95.4,12.1,36,3,6.2,2,326,311,35,2,,6,12,118,94.1,13.6,16,8.5,1,135,127,19,2019
Carl Jones Jr.,100406,ED,UCLA,13,0,1,324,56.1,7,10,176,59.7,3.4,6,3,5.4,1,310,185,18,0,53.4,4,5,61,70.7,3.3,2,7.4,0,92,65,9,2023
Carl Lawson,11871,ED,AUBURN,13,0,0,115,91.6,15,45,347,97.3,20.7,72,6,11.2,9,374,364,69,0,93.2,7,30,143,100.0,37.1,53,17.1,6,153,153,43,2016
Carl Nassib,10699,ED,PENN STATE,13,0,1,266,90.7,9,30,239,92.5,16.7,40,2,14.4,15,268,248,54,0,91.2,3,14,85,89.8,27.1,23,20.6,9,98,88,26,2015
Carlo Kemp,43059,ED,MICHIGAN,6,0,2,222,71.6,5,4,175,100.0,9.7,17,2,3.7,2,183,183,11,0,65.4,1,0,46,100.0,10.9,5,1.1,0,51,51,1,2020
Carlos Hatcher,76824,ED,TULANE,12,1,0,319,62.2,3,9,169,84.5,6.5,11,0,5.9,4,213,180,16,1,,1,6,89,86.7,9.0,8,8.4,4,105,91,11,2019
Carroll Phillips,48353,ED,ILLINOIS,12,0,1,187,68.1,7,22,257,99.6,10.9,28,6,9.1,9,273,272,38,0,69.1,2,14,112,100.0,17.9,20,10.7,4,120,120,20,2016
Carson Wells,57792,ED,COLORADO,12,2,0,143,69.4,6,16,301,79.3,10.3,31,0,5.6,6,396,314,28,0,71.6,3,9,132,82.4,15.2,20,9.1,6,165,136,18,2021
Carter Coughlin,43498,ED,MINNESOTA,13,0,0,225,92.2,14,26,325,89.1,17.5,57,4,9.8,12,384,342,52,0,,7,18,131,92.6,25.2,33,14.9,7,148,137,32,2019
Casey Sayles,12209,ED,OHIO,13,3,0,259,63.1,4,13,308,100.0,4.9,15,0,3.7,3,322,322,20,0,58.9,2,7,119,100.0,6.7,8,5.5,2,125,125,11,2015
Casey Toohill,38472,ED,STANFORD,7,2,1,300,68.3,5,9,138,77.7,10.1,14,1,8.0,4,184,143,18,0,,4,6,49,83.6,20.4,10,14.3,2,61,51,12,2019
Cashius Howell,145655,ED,TEXAS A&M,13,3,0,312,91.4,6,24,206,72.2,19.9,41,8,9.2,4,306,221,34,2,88.3,4,14,76,76.4,27.6,21,14.5,2,106,81,20,2024
Cassanova McKinzy,10938,LB,AUBURN,13,1,0,115,80.5,13,22,222,60.4,14.9,33,1,9.7,4,379,229,39,0,78.1,4,10,93,77.6,18.3,17,10.8,3,125,97,17,2015
Cece Jefferson,48729,ED,FLORIDA,11,1,0,163,68.7,2,19,196,93.0,11.2,22,2,5.9,1,228,212,22,0,,0,12,96,95.5,14.6,14,7.3,1,111,106,13,2019
Cedric Gray,122835,LB,N CAROLINA,12,0,0,245,76.5,7,9,96,20.9,13.5,13,1,13.5,5,479,100,21,0,79.8,4,6,44,28.1,18.2,8,20.5,4,171,48,14,2023
Cedric Johnson,124136,ED,OLE MISS,12,1,1,226,70.7,4,24,251,85.4,10.8,27,1,7.2,4,308,263,32,0,69.1,2,12,91,87.2,14.3,13,11.0,3,109,95,17,2023
Cedric Reed,9736,ED,TEXAS,13,1,0,311,59.7,4,20,368,99.2,4.9,18,1,4.6,5,388,385,29,0,66.0,3,9,131,100.0,9.9,13,7.6,4,141,141,16,2014
Cedric Wilcots II,48653,ED,NEW MEX ST,10,0,0,242,75.0,4,17,282,99.3,10.6,30,0,5.9,6,307,305,27,0,,2,13,107,100.0,17.8,19,11.7,5,114,114,20,2019
Chace Davis,158815,ED,BOWL GREEN,12,1,0,122,74.6,2,17,122,93.3,19.7,24,1,8.6,1,135,126,20,0,70.3,1,9,50,92.7,24.0,12,10.0,0,55,51,10,2024
Chad Polk,18758,ED,N TEXAS,10,3,0,251,90.0,4,8,164,98.8,9.1,15,2,8.5,8,168,166,20,1,90.7,2,3,59,100.0,16.9,10,12.7,5,61,61,10,2014
Chad Stephens,97541,ED,E CAROLINA,13,0,1,156,63.0,4,16,211,96.9,10.0,21,3,6.2,3,228,221,23,0,67.1,3,6,48,94.5,18.8,9,11.5,1,55,52,10,2024
Chad Thomas,48565,ED,MIAMI FL,13,0,0,220,76.2,7,27,318,93.3,14.8,47,0,7.2,6,359,335,40,0,77.3,3,16,129,98.6,19.4,25,11.2,5,142,140,24,2018
Chaiziere Malbrue,30261,ED,LA LAFAYET,14,0,0,207,62.1,1,6,149,75.4,6.7,10,0,5.7,5,211,159,12,0,,1,5,69,82.0,8.7,6,10.1,4,89,73,10,2019
Chance Campbell,81295,LB,OLE MISS,13,1,0,226,71.4,4,31,113,24.5,11.5,13,0,21.7,7,497,122,42,0,65.2,1,8,48,75.0,14.6,7,13.5,2,68,51,11,2021
Chance Main,101903,ED,TEXAS ST,10,0,0,314,71.9,5,16,151,99.4,14.6,22,2,7.6,1,160,159,22,0,73.0,2,7,45,100.0,20.0,9,10.0,0,47,47,9,2023
Chandler Burkett,39686,ED,MARYLAND,12,0,0,215,63.4,5,14,220,84.2,6.8,15,0,5.2,2,285,240,21,0,61.9,3,7,94,86.6,9.6,9,6.4,1,119,103,11,2018
Chandler Martin,139005,LB,MEMPHIS,13,0,0,218,61.5,5,21,115,22.8,7.0,8,1,18.3,8,536,122,34,0,63.9,3,9,51,48.2,9.8,5,19.6,4,114,55,16,2024
Chandler Ramirez,35348,ED,ARMY,13,0,0,114,57.0,2,10,180,73.9,5.0,9,1,3.3,0,253,187,12,0,,2,6,52,69.3,9.6,5,7.7,0,75,52,8,2019
Channing Tindall,82548,LB,GEORGIA,15,0,0,173,81.5,6,11,96,33.2,17.7,17,0,18.2,9,307,102,26,0,74.7,4,6,49,46.4,22.4,11,18.4,4,110,51,14,2021
Channing Ward,10943,ED,OLE MISS,13,3,0,226,65.0,4,12,216,98.7,6.0,13,0,5.1,3,232,229,19,0,62.3,2,6,69,98.7,8.7,6,8.7,2,76,75,10,2015
Chantz Williams,122230,ED,CHARLOTTE,11,4,0,136,76.7,4,4,125,96.4,8.0,10,1,6.4,4,138,133,12,1,82.8,3,2,50,98.1,12.0,6,11.0,3,54,53,8,2024
Charles Coleman III,82166,ED,S ALABAMA,12,0,0,288,69.5,1,17,256,89.7,8.2,21,4,6.6,8,311,279,26,0,69.2,1,8,86,92.5,11.6,10,9.9,4,107,99,13,2021
Charles Esters III,144768,ED,TEXAS TECH,9,1,0,315,56.8,4,7,178,92.7,6.2,11,1,3.7,1,205,190,12,0,60.3,1,4,60,90.0,11.7,7,5.8,1,70,63,6,2024
Charles Harris,11777,ED,MISSOURI,12,2,2,229,86.8,18,34,342,94.4,18.4,63,5,10.5,10,376,355,62,0,90.1,13,17,137,96.7,27.7,38,16.1,7,150,145,37,2016
Charles Looes,106423,ED,RICE,12,0,0,275,81.2,9,24,293,97.1,14.3,42,1,7.3,5,312,303,38,0,90.3,5,12,75,94.0,25.3,19,14.0,2,83,78,19,2024
Charles Omenihu,50612,ED,TEXAS,14,1,2,311,72.8,8,22,444,97.1,9.9,44,4,5.2,8,482,468,38,1,,3,11,126,92.9,19.0,24,7.1,2,141,131,16,2019
Charles Remlinger,146029,ED,FRESNO ST,12,0,0,169,49.3,0,3,120,96.2,0.8,1,0,1.3,0,133,128,3,0,50.8,0,3,77,97.6,1.3,1,1.9,0,83,81,3,2022
Charles Rosser,130380,ED,BOWL GREEN,13,0,1,122,70.3,5,16,201,72.5,12.9,26,1,8.2,6,298,216,27,0,73.6,3,14,73,82.1,21.9,16,15.8,3,95,78,20,2024
Charles Snowden,62775,ED,VIRGINIA,13,7,0,335,72.4,7,15,244,61.1,6.6,16,0,6.1,4,411,251,26,2,,2,4,88,59.9,4.5,4,6.8,3,152,91,9,2019
Charles Wiley,44329,ED,UTSA,14,0,0,331,73.6,4,19,280,80.2,15.0,42,3,4.8,2,368,295,25,0,76.1,3,12,94,83.9,23.4,22,9.0,1,118,99,16,2021
Charles Wright,38954,ED,VANDERBILT,12,0,0,333,75.7,8,23,243,86.5,16.5,40,2,9.7,8,296,256,39,0,81.6,7,13,102,96.5,28.4,29,14.7,5,113,109,25,2018
Charlie Thomas III,76790,LB,GA TECH,12,1,0,176,75.6,1,13,82,23.0,19.5,16,3,11.0,2,387,89,16,1,75.7,1,9,47,32.2,19.1,9,14.9,2,152,49,12,2022
Charlie Walker,37702,ED,BOWL GREEN,14,0,0,122,59.6,6,18,348,94.1,6.3,22,0,3.7,1,387,364,25,0,65.5,5,8,112,95.1,12.5,14,6.7,1,122,116,14,2014
Chase Hansen,51448,LB,UTAH,13,1,0,328,70.4,7,10,93,21.1,10.8,10,2,14.5,5,465,98,22,0,,1,8,45,23.5,17.8,8,16.7,3,204,48,12,2019
Chase Kennedy,158491,ED,ARIZONA,10,0,1,109,65.9,3,14,166,84.1,10.8,18,3,6.9,3,201,169,20,0,65.1,3,10,81,98.8,13.6,11,9.3,1,84,83,14,2024
Chase Lasater,60894,ED,FAU,11,0,0,165,66.5,3,4,136,90.9,13.2,18,2,3.3,1,165,150,8,0,71.0,1,2,58,96.9,22.4,13,4.3,1,65,63,4,2021
Chase Robison,50281,ED,ARK STATE,13,0,3,113,67.9,5,12,145,100.0,11.0,16,3,7.2,2,154,154,19,0,70.4,1,4,50,100.0,16.0,8,9.0,2,53,53,7,2016
Chase Williams,10187,LB,VA TECH,9,1,0,337,63.4,7,18,109,33.2,7.3,8,0,15.1,4,340,113,29,0,64.6,3,10,60,43.9,8.3,5,17.5,4,139,61,17,2014
Chase Winovich,48523,ED,MICHIGAN,13,1,0,222,89.1,14,34,318,100.0,18.9,60,3,9.1,5,345,345,53,0,,10,26,145,100.0,26.2,38,15.2,4,164,164,40,2019
Chase Young,56436,ED,OHIO STATE,14,5,2,260,91.2,14,50,438,97.1,18.0,79,6,9.8,11,484,470,75,3,,6,24,152,96.5,27.0,41,14.5,7,173,167,37,2019
Chauncey Golston,42718,ED,IOWA,8,0,0,192,75.5,6,22,244,96.5,12.7,31,0,8.2,6,259,250,34,0,79.0,3,10,99,96.2,17.2,17,11.6,5,104,100,18,2020
Chauncey Manac,44162,ED,LA LAFAYET,14,2,0,207,77.4,4,25,276,79.9,10.9,30,2,9.2,11,369,295,40,1,79.4,2,13,122,77.8,14.8,18,11.9,7,171,133,22,2021
Chauncey Rivers,36669,ED,MISS STATE,13,0,0,227,65.6,4,11,188,97.6,9.6,18,1,6.1,4,205,200,19,0,,3,5,67,100.0,14.9,10,11.9,4,77,77,12,2019
Chaz Chambliss,146728,ED,GEORGIA,12,0,1,173,63.3,0,8,110,72.1,10.0,11,1,5.5,2,165,119,10,0,58.7,0,6,47,84.2,10.6,5,8.5,1,57,48,7,2022
Cherif Seye,79240,ED,UCLA,9,1,0,324,65.9,1,5,88,100.0,11.4,10,1,4.5,1,90,90,7,0,72.4,0,4,42,100.0,16.7,7,7.1,1,42,42,5,2024
Chibu Onyeukwu,42716,ED,S DIEGO ST,12,0,0,284,61.0,1,15,247,91.9,6.5,16,1,5.3,5,283,260,21,0,,1,9,88,88.0,10.2,9,8.0,2,108,95,12,2019
Chico Bennett Jr.,99725,ED,VIRGINIA,12,0,2,335,68.2,2,30,321,93.1,10.3,33,5,5.3,1,364,339,33,0,71.9,2,17,135,93.4,16.3,22,7.0,0,152,142,19,2024
Chief Borders,146707,ED,PITTSBURGH,13,1,0,268,62.9,1,9,171,99.5,9.4,16,1,3.5,1,182,181,11,0,67.6,0,4,54,100.0,18.5,10,5.6,1,57,57,5,2024
Chinedu Ogbonna,52091,LB,UMASS,12,1,0,216,73.2,7,4,106,37.1,9.4,10,1,7.1,2,299,111,13,0,,3,1,48,58.6,12.5,6,6.3,1,87,51,5,2019
Chisom Ifeanyi,183407,ED,FAU,12,0,0,165,82.2,2,20,157,97.1,19.1,30,3,8.9,3,175,170,25,0,89.1,1,15,50,100.0,38.0,19,18.0,1,58,58,17,2024
Chop Robinson,144901,ED,PENN STATE,10,1,1,266,92.3,5,18,148,90.8,20.9,31,1,9.8,3,163,148,26,0,93.1,2,8,60,90.9,26.7,16,13.3,3,66,60,13,2023
Chris Braswell,123908,ED,ALABAMA,14,0,0,103,87.9,10,33,291,85.6,18.2,53,3,11.9,13,361,309,56,0,85.1,7,23,123,90.6,27.6,34,18.7,8,149,135,38,2023
Chris Calhoun,50233,ED,WAKE,13,0,0,339,48.9,0,9,229,85.8,1.7,4,2,2.0,0,282,242,9,0,,0,3,57,84.6,3.5,2,2.6,0,78,66,3,2019
Chris Casher,22810,ED,FLORIDA ST,13,1,0,167,57.9,3,14,171,81.8,8.2,14,0,5.6,1,220,180,18,0,62.8,2,7,69,89.0,15.9,11,8.0,1,82,73,10,2014
Chris Covington,49825,LB,INDIANA,12,0,1,190,64.0,6,8,94,29.5,7.4,7,2,10.6,3,339,100,17,0,70.5,2,4,49,38.6,14.3,7,12.2,3,132,51,9,2018
Chris Frey,49695,LB,MICH STATE,13,0,0,223,71.2,6,15,113,27.6,17.7,20,3,13.7,5,431,119,26,0,75.6,5,11,65,36.9,24.6,16,16.9,3,187,69,19,2018
Chris Hale,23363,ED,MIDDLE TN,10,1,0,224,50.8,0,7,267,97.6,3.7,10,0,1.7,1,289,282,8,1,57.2,0,3,59,98.4,6.8,4,4.2,1,63,62,4,2016
Chris Hardie,109593,ED,JVILLE ST,13,2,0,196,64.5,6,23,361,98.9,8.6,31,3,6.2,8,380,376,37,0,63.9,1,11,104,99.1,13.5,14,9.6,4,108,107,16,2023
Chris Henderson,43249,ED,S ALABAMA,12,0,0,288,64.9,2,9,149,68.4,7.4,11,0,5.7,3,228,156,14,0,69.9,1,5,47,64.9,17.0,8,6.4,0,77,50,6,2021
Chris Hummingbird,12787,ED,TULSA,12,0,0,320,60.0,7,17,421,97.8,6.4,27,1,4.0,5,456,446,29,0,61.4,2,10,133,96.7,9.8,13,6.0,2,150,145,14,2014
Chris Jones,123601,ED,FAU,12,5,0,165,73.6,7,21,288,98.7,11.1,32,0,4.9,0,312,308,28,0,66.0,3,9,89,98.0,13.5,12,6.7,0,100,98,12,2024
Chris Kantzavelos,48499,ED,C MICHIGAN,13,1,1,134,62.4,5,12,257,99.6,6.2,16,1,4.1,2,269,268,19,0,59.0,2,2,54,100.0,9.3,5,3.7,0,59,59,4,2016
Chris Murray,144708,ED,SM HOUSTON,13,0,0,281,75.0,2,23,245,100.0,12.7,31,0,8.4,8,260,260,33,0,73.9,1,4,66,100.0,12.1,8,11.4,5,73,73,10,2024
Chris Odom,12031,ED,ARK STATE,13,2,1,113,88.5,11,40,370,100.0,16.2,60,4,10.1,12,397,397,63,0,88.0,6,26,123,100.0,30.9,38,17.1,5,132,132,37,2016
Chris Peace,50232,ED,VIRGINIA,13,0,0,335,77.4,11,37,321,80.5,15.0,48,0,9.7,7,410,330,55,0,,8,21,118,83.8,23.7,28,16.5,5,148,124,34,2019
Chris Prater,19499,ED,LA LAFAYET,10,0,0,207,50.5,1,4,182,93.1,1.6,3,0,1.4,0,204,190,5,0,55.9,1,3,53,100.0,3.8,2,3.8,0,54,54,4,2015
Chris Rumph II,56345,ED,DUKE,11,1,2,154,78.1,9,26,229,86.0,18.8,43,7,11.6,9,279,240,44,0,77.7,4,17,84,89.3,28.6,24,16.1,3,103,92,24,2020
Chris Stone,17826,ED,ARK STATE,12,3,1,113,61.9,8,28,382,100.0,6.0,23,1,5.2,2,396,396,38,0,65.8,6,11,144,100.0,9.7,14,7.3,2,150,150,19,2015
Chris Turner,56726,ED,MISSOURI,13,0,1,229,56.1,6,13,265,97.2,6.0,16,2,4.3,2,287,279,21,0,,3,4,72,100.0,9.7,7,6.3,1,75,75,8,2019
Chris Willis,43969,ED,E CAROLINA,8,0,0,156,58.0,4,4,179,100.0,4.5,8,1,4.5,4,188,188,12,0,59.1,2,1,51,100.0,7.8,4,4.9,1,55,55,4,2020
Chris Wormley,11829,ED,MICHIGAN,13,0,1,222,74.9,10,21,263,100.0,14.4,38,1,8.2,6,281,281,37,0,67.4,3,10,105,100.0,15.2,16,10.0,4,115,115,17,2016
Christian Albright,56327,ED,BALL ST,13,2,0,117,79.8,2,16,290,75.7,13.1,38,1,4.5,4,399,302,22,0,89.9,1,10,104,97.3,24.0,25,9.1,4,111,108,15,2021
Christian French,11283,ED,OREGON,8,0,0,264,61.3,0,13,148,60.6,9.5,14,2,5.7,2,254,154,15,0,62.9,0,7,65,84.0,13.8,9,8.5,2,81,68,9,2015
Christian Harris,98996,LB,ALABAMA,15,0,0,103,65.1,3,16,142,27.3,10.6,15,0,11.6,7,553,151,26,0,72.5,1,10,69,44.0,20.3,14,12.3,3,159,70,14,2021
Christian Miller,50078,ED,ALABAMA,14,0,0,103,79.7,10,19,203,77.8,17.7,36,2,12.1,10,275,214,39,0,,5,13,92,87.7,22.8,21,14.1,4,114,100,22,2019
Christian Rector,39404,ED,USC,12,1,0,326,67.2,6,27,360,97.0,10.0,36,0,6.3,6,395,383,39,0,,3,12,137,94.9,14.6,20,6.9,2,156,148,17,2019
Christian Sam,49817,LB,ARIZONA ST,13,0,0,110,68.4,3,9,97,21.5,7.2,7,1,9.3,3,460,99,15,0,60.7,1,6,41,23.2,12.2,5,8.5,0,177,41,7,2015
Christian Wilkins,50293,ED,CLEMSON,15,9,0,140,70.3,8,30,363,91.8,12.1,44,3,6.1,3,427,392,41,2,70.2,2,13,93,91.5,21.5,20,10.2,2,118,108,17,2016
Christopher Allen,57679,ED,ALABAMA,13,0,0,103,68.1,6,24,282,79.8,9.2,26,1,7.4,6,377,301,36,0,69.0,4,13,138,83.5,12.3,17,9.8,5,176,147,22,2020
Christopher DeLoach,77898,ED,UCF,10,0,0,323,52.1,1,8,169,100.0,1.8,3,2,2.7,0,181,181,9,0,54.4,0,7,85,100.0,3.5,3,4.1,0,89,89,7,2020
Christopher Herrera,101186,ED,AIR FORCE,13,0,0,101,61.0,2,18,262,99.3,8.8,23,0,4.2,1,276,274,21,0,60.9,1,9,102,99.1,9.8,10,5.9,1,107,106,11,2022
Chuck Harris,49588,ED,BUFFALO,12,1,0,126,72.1,6,21,284,100.0,9.9,28,0,7.6,8,292,292,35,1,,4,14,118,100.0,16.9,20,11.9,5,119,119,23,2019
Cian Slone,174768,ED,UTAH ST,12,0,0,329,71.2,12,15,252,98.9,11.5,29,1,8.1,7,271,268,34,0,72.2,5,5,56,100.0,23.2,13,14.3,3,58,58,13,2024
Clarence Hicks,100695,LB,UTSA,14,1,0,331,90.9,8,19,173,54.8,22.5,39,4,15.3,13,330,181,40,0,83.8,4,10,77,73.2,24.7,19,18.2,7,112,82,21,2021
Clayton Smith,144631,ED,ARIZONA ST,14,1,1,110,63.4,9,15,322,96.0,7.1,23,2,5.0,4,353,339,28,0,68.6,4,7,110,94.3,11.8,13,8.6,4,122,115,15,2024
Clelin Ferrell,25955,ED,CLEMSON,15,2,0,140,90.1,11,32,313,84.3,16.3,51,6,11.0,13,396,334,56,0,,3,12,87,88.5,21.8,19,14.4,5,104,92,20,2019
Clev Lubin,163200,ED,COAST CAR,10,2,0,141,92.0,8,28,193,83.8,22.3,43,2,14.5,10,247,207,46,0,90.5,3,18,61,94.4,42.6,26,23.8,4,72,68,25,2024
Clinton Anokwuru,122545,ED,COAST CAR,13,0,0,141,59.5,0,8,134,96.0,6.7,9,3,4.5,2,149,143,10,0,60.9,0,4,45,95.9,8.9,4,8.9,2,49,47,6,2023
Cody Barton,50727,LB,UTAH,14,0,0,328,70.7,4,14,106,19.5,14.2,15,2,12.3,4,573,112,22,0,,1,10,58,22.3,17.2,10,16.4,4,269,60,15,2019
Cody Galea,9702,ED,S DIEGO ST,13,0,0,284,51.1,3,10,203,62.1,3.0,6,2,4.7,3,351,218,16,0,48.2,2,4,97,75.4,2.1,2,4.1,1,138,104,7,2014
Cody Moon,128273,LB,S DIEGO ST,12,0,0,284,58.7,4,11,101,40.4,6.9,7,1,7.4,0,270,109,15,0,56.8,0,7,41,50.0,9.8,4,8.5,0,92,46,7,2023
Cody Robinson,16491,LB,LA MONROE,9,0,0,209,70.9,0,11,108,48.1,11.1,12,0,8.8,4,239,115,15,0,73.8,0,6,41,64.3,17.1,7,14.6,3,70,45,9,2015
Cody Rogers,13125,ED,UTSA,12,1,0,331,77.3,9,8,194,92.9,10.8,21,2,5.9,3,225,209,20,0,71.7,3,4,60,100.0,11.7,7,7.5,1,68,68,8,2014
Cody Roscoe,89218,ED,SYRACUSE,12,0,1,304,73.6,2,24,276,97.6,13.0,36,1,9.1,12,291,284,38,0,74.9,1,12,95,97.0,22.1,21,16.3,9,100,97,22,2021
Cody Simon,129757,LB,OHIO STATE,15,1,0,260,80.6,0,12,82,19.0,15.9,13,0,17.1,8,458,87,20,0,81.1,0,8,45,25.7,20.0,9,20.0,5,187,48,13,2024
Cody Stufflebean,122619,ED,KANSAS ST,13,0,0,199,52.7,4,7,220,100.0,2.3,5,0,3.4,2,240,240,13,0,54.5,1,3,65,100.0,3.1,2,3.1,0,73,73,4,2024
Colbert Calhoun,27122,LB,UMASS,12,1,0,216,80.8,3,6,77,29.4,9.1,7,1,9.7,3,289,85,12,0,63.7,1,6,41,35.7,7.3,3,13.4,2,126,45,9,2016
Colby Wooden,98312,ED,AUBURN,12,4,0,115,71.8,5,24,347,96.6,8.4,29,2,5.9,6,384,371,35,0,74.6,2,14,126,98.5,12.7,16,10.3,5,134,132,21,2022
Cole Mashburn,98147,LB,MEMPHIS,10,0,0,218,59.7,3,7,142,49.2,4.9,7,0,3.5,0,301,148,10,0,63.4,3,6,65,85.0,7.7,5,6.9,0,80,68,9,2021
Cole Maxwell,56332,ED,BAYLOR,14,1,0,118,54.8,2,11,284,95.8,4.2,12,0,3.0,2,313,300,15,0,60.6,2,9,112,92.0,8.0,9,6.7,2,125,115,13,2021
Cole Nelson,144096,ED,VA TECH,13,0,0,337,55.7,3,13,266,98.6,5.6,15,0,4.1,3,278,274,19,0,57.1,1,7,102,99.1,7.8,8,5.9,2,109,108,10,2024
Cole Ormsby,48462,ED,UCONN,12,0,0,146,58.2,6,22,406,99.8,7.4,30,0,4.7,5,417,416,33,0,59.6,3,8,96,100.0,13.5,13,7.8,2,97,97,13,2016
Cole Walterscheid,48530,ED,OKLA STATE,13,2,0,262,59.2,2,3,191,97.6,4.2,8,0,1.8,1,209,204,6,1,,2,2,55,98.3,9.1,5,3.6,0,60,59,4,2019
Coleman Coco,89204,ED,RICE,13,0,0,275,52.2,5,17,358,98.4,4.2,15,4,4.5,5,387,381,27,0,52.8,1,10,124,97.7,4.8,6,6.9,3,131,128,14,2023
Colin Schooler,57700,LB,TEXAS TECH,13,2,0,315,75.7,4,17,107,24.6,12.1,13,0,10.7,1,468,115,22,0,74.7,1,4,42,34.4,16.7,7,8.3,1,131,45,6,2021
Colin Simmons,184515,ED,TEXAS,16,2,3,311,90.0,15,22,231,78.6,15.6,36,6,11.9,9,308,242,46,1,90.6,8,16,112,92.2,21.4,24,17.0,7,128,118,31,2024
Collin Oliver,144664,LB,OKLA STATE,14,3,0,262,81.1,7,27,263,56.6,12.2,32,2,9.1,7,500,283,41,1,75.5,2,14,107,88.6,16.8,18,9.3,2,132,117,18,2023
Connor Healy,17570,LB,AIR FORCE,13,0,0,101,66.4,9,6,137,28.0,8.8,12,0,7.7,3,504,141,18,0,64.5,3,3,59,36.8,10.2,6,8.5,2,163,60,8,2014
Connor O'Brien,50181,ED,WASHINGTON,12,0,1,340,58.5,2,15,201,81.4,5.5,11,4,6.2,4,253,206,21,0,60.1,0,8,89,89.5,6.7,6,7.9,3,105,94,11,2016
Connor O'Toole,131869,ED,UTAH,8,0,0,328,71.1,2,15,125,95.0,16.0,20,1,9.2,3,141,134,20,0,73.1,0,10,49,96.4,26.5,13,14.3,2,55,53,12,2024
Cooper Brock,15389,ED,UTEP,13,0,0,330,61.6,3,3,126,97.8,4.0,5,0,4.8,3,136,133,9,0,58.7,2,2,55,100.0,7.3,4,7.3,2,58,58,6,2014
Cooper McDonald,131903,ED,TCU,9,1,0,305,65.2,3,6,144,86.0,7.6,11,0,5.9,4,172,148,13,0,69.6,2,3,45,84.2,17.8,8,14.4,4,57,48,9,2024
Corbin Kaufusi,42414,ED,BYU,11,2,0,128,68.3,9,16,251,79.0,10.8,27,2,8.2,8,338,267,33,1,,4,10,102,92.6,16.7,17,9.8,3,121,112,17,2019
Corey Crawford,9723,ED,CLEMSON,11,1,0,140,53.5,5,11,234,93.2,4.3,10,2,4.3,2,264,246,18,0,57.4,1,3,82,95.7,7.3,6,4.9,2,93,89,6,2014
Corey Suttle,99312,ED,MIAMI OH,12,0,1,221,63.6,4,21,269,99.6,7.4,20,1,6.5,5,283,282,30,0,67.2,2,13,118,100.0,12.7,15,10.6,5,126,126,20,2024
Corey Thompson,18551,ED,LSU,12,0,0,211,70.4,2,13,149,54.0,11.4,17,1,9.7,7,291,157,22,0,77.2,1,9,62,57.7,21.0,13,16.1,5,111,64,15,2018
Corey Vereen,48414,ED,TENNESSEE,13,2,0,307,68.6,4,29,305,94.2,13.1,40,0,7.7,7,342,322,40,1,72.3,2,15,94,95.3,21.3,20,14.4,5,107,102,22,2016
Corey Walker,145937,ED,W MICHIGAN,11,3,0,347,73.8,1,21,216,95.1,14.4,31,2,7.4,5,243,231,27,0,80.9,1,15,92,92.5,26.1,24,12.0,3,106,98,19,2024
Cormontae Hamilton,101674,ED,MEMPHIS,13,1,0,218,62.3,1,15,238,98.1,6.7,16,1,4.2,2,257,252,18,0,56.8,0,7,69,100.0,7.2,5,6.5,1,72,72,8,2023
Cornel Jones,58119,LB,PURDUE,13,0,0,273,66.7,7,10,86,17.8,11.6,10,3,16.9,6,518,92,23,0,,4,6,41,24.6,19.5,8,24.4,5,171,42,15,2019
Corvin Moment,58294,LB,W MICHIGAN,12,1,0,347,69.7,0,28,223,56.4,13.9,31,1,8.5,5,422,238,33,0,72.4,0,22,100,73.0,22.0,22,14.0,3,148,108,25,2022
Cory Jackson,100759,ED,DOMINION,11,1,0,263,55.1,2,9,201,87.6,4.0,8,3,3.7,2,250,219,13,0,53.3,1,5,83,86.0,4.8,4,4.8,1,107,92,7,2021
Cory James,10828,LB,COLO STATE,13,0,0,144,70.5,0,23,181,63.8,14.4,26,3,8.0,3,307,196,26,0,74.7,0,16,76,79.8,25.0,19,13.2,2,104,83,18,2015
Cory Littleton,11190,ED,WASHINGTON,13,0,0,340,75.6,12,21,252,71.4,13.1,33,2,9.3,7,370,264,40,0,79.5,10,11,104,84.7,19.2,20,14.9,5,131,111,26,2015
Cory Morrissey,14351,ED,IOWA STATE,12,1,0,193,63.2,3,27,385,97.3,7.3,28,2,4.9,4,413,402,34,0,55.5,1,10,108,99.1,8.3,9,5.1,0,115,114,11,2014
