player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,year
B.J. Green II,146277,ED,COLORADO,13,0,0,143,88.8,12,25,319,99.1,16.3,52,5,7.7,6,344,341,43,0,87.3,7,20,138,99.3,21.0,29,12.0,3,150,149,30,2024
BJ Diakite,163709,ED,VANDERBILT,10,1,0,333,54.4,2,3,127,82.0,2.4,3,1,2.8,1,161,132,6,0,52.5,1,1,41,91.3,4.9,2,2.4,0,46,42,2,2022
BJ Ojulari,124105,ED,LSU,11,0,0,211,81.4,14,26,312,79.7,14.1,44,3,9.3,9,413,329,49,0,83.5,7,16,102,83.5,22.5,23,16.2,5,127,106,28,2022
Baker Pritchard,49642,ED,OREGON ST,12,1,0,265,58.7,0,9,208,99.5,6.3,13,2,3.1,2,215,214,11,0,59.2,0,2,74,100.0,9.5,7,2.7,1,77,77,3,2015
Bangally Kamara,123012,LB,PITTSBURGH,13,1,0,268,70.6,4,18,101,23.6,14.9,15,1,13.9,3,433,102,25,0,63.0,2,7,45,24.7,20.0,9,12.2,1,186,46,10,2022
Barrett Carter,144109,LB,CLEMSON,13,2,0,140,82.4,5,17,97,19.0,10.3,10,0,16.5,5,527,100,27,0,80.6,1,11,43,22.2,14.0,6,23.3,4,198,44,16,2022
Barryn Sorrell,144739,ED,TEXAS,16,1,0,311,74.6,11,29,344,92.6,13.4,46,4,8.4,9,391,362,49,1,71.4,4,13,120,96.2,16.7,20,12.9,7,133,128,24,2024
Baylon Spector,57782,LB,CLEMSON,11,0,0,140,59.6,1,9,85,23.7,8.2,7,4,10.6,4,372,88,14,0,58.2,1,7,48,41.1,8.3,4,14.6,3,124,51,11,2021
Beau Atkinson,156348,ED,N CAROLINA,13,0,0,245,76.2,5,12,186,97.0,15.1,28,1,8.9,8,202,196,25,0,78.1,5,7,86,98.9,16.3,14,10.5,3,94,93,15,2024
Beau Martin,12754,ED,BOISE ST,14,1,0,120,71.3,11,37,453,100.0,11.0,50,2,7.1,8,469,469,56,0,65.3,1,19,147,100.0,15.0,22,7.5,1,151,151,21,2014
